1503,,,,,,,,1122,1040,990,973,149,0,,,,,,,,,
ISO NO.,PIECE MARK,REF. DWG.,SHT. NO.,LINE NO.,PAINT SYS.,TOP COAT,PRIORITY,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,SHIP TO COATING,TO SITE,LOAD NO.,READY TO SHIP,READY TO SHIP COATING,COMMENTS,SPEC.,AREA,ON HOLD,SHOP,S.O.
819,6-7114-819-1A                 ,65445-P1A109J-6                              ,2,"1""-AIR-65445-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
821,6-7114-821-1                  ,65446-P1A109J-6                              ,2,"1""-AIR-65446-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
821,6-7114-821-1A                 ,65446-P1A109J-6                              ,2,"1""-AIR-65446-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,9/29/2020,9/30/2020,10/1/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
825,0-7114-825-1                  ,64345-P1B43BL-0                              ,1,"1.5""-DM-64345-P1B43BL-0-C2E-1.5""             ",NONE                     ,-                   ,2,,,,,,,,,,,P1B43BL   ,0,,MOBILE    ,7114
825,0-7114-825-2                  ,64345-P1B43BL-0                              ,1,"1.5""-DM-64345-P1B43BL-0-C2E-1.5""             ",NONE                     ,-                   ,2,,,,,,,,,,,P1B43BL   ,0,,MOBILE    ,7114
834,0-7114-834-1                  ,64746-P1A109J-0                              ,4,"4""-N-64746-P1A109J-0                         ",GALV./SZ227S             ,-                   ,2,,,,,,,,,,,P1A109J   ,0,,PA        ,7114
834,0-7114-834-2                  ,64746-P1A109J-0                              ,4,"4""-N-64746-P1A109J-0                         ",GALV./SZ227S             ,-                   ,2,,,,,,,,,,,P1A109J   ,0,,PA        ,7114
834,0-7114-834-3                  ,64746-P1A109J-0                              ,4,"4""-N-64746-P1A109J-0                         ",GALV./SZ227S             ,-                   ,2,,,,,,,,,,,P1A109J   ,0,,PA        ,7114
834,0-7114-834-4                  ,64746-P1A109J-0                              ,4,"4""-N-64746-P1A109J-0                         ",GALV./SZ227S             ,-                   ,2,,,,,,,,,,,P1A109J   ,0,,PA        ,7114
834,0-7114-834-5                  ,64746-P1A109J-0                              ,4,"4""-N-64746-P1A109J-0                         ",GALV./SZ227S             ,-                   ,2,,,,,,,,,,,P1A109J   ,0,,PA        ,7114
