PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,,Spool-Size-Weld-Spec,
64263-P1A4L-6,4-Mar,FA30,BW,P1A4L,163,163-1,6-7114-163-1,XS,,163-143894BWP1A4L,#N/A
64269-P1B43BL-6,4-Mar,FA24,BW,P1B43BL,171,171-1,6-7114-171-1,10S,,171-143894BWP1B43BL,#N/A
64298-P1B206AC-6,4-Mar,FA1,BW,P1B206AC,180,180-1,6-7114-180-1,,,180-143894BWP1B206AC,#N/A
64298-P1B206AC-6,4-Mar,FA2,BW,P1B206AC,180,180-1,6-7114-180-1,,,180-143894BWP1B206AC,#N/A
64298-P1B206AC-6,4-Mar,FA3,BW,P1B206AC,180,180-2,6-7114-180-2,,,180-243894BWP1B206AC,#N/A
64298-P1B206AC-6,4-Mar,FA4,BW,P1B206AC,180,180-2,6-7114-180-2,,,180-243894BWP1B206AC,#N/A
64298-P1B206AC-6,4-Mar,FA5,BW,P1B206AC,180,180-2,6-7114-180-2,,,180-243894BWP1B206AC,#N/A
64324-P1B43BL-6,4-Mar,FA38,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA37,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA36,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA35,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA34,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA33,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA32,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA43,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA44,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA45,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64324-P1B43BL-6,4-Mar,FA46,BW,P1B43BL,191,191-1,6-7114-191-1,10S,,191-143894BWP1B43BL,#N/A
64340-P1B151B-6,4-Mar,FA7,OLET,P1B151B,202,202-2,6-7114-202-2,10S,,202-243894OLETP1B151B,#N/A
64340-P1B151B-6,4-Mar,FA8,BW,P1B151B,202,202-2,6-7114-202-2,10S,,202-243894BWP1B151B,#N/A
64952-P1A109J-0,4-Mar,FA16,SW,P1A109J,855,855-1,0-7114-855-1,,,855-143894SWP1A109J,#N/A
