spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
498-3,MK-000-WF-20270-60-3,CS,2/11/2020,,6,60,498,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/14/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,3,5,13,2,20,4,1,,,
499-1,MK-000-WF-20270-62-1,CS,2/18/2020,,6,60,499,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
499-2,MK-000-WF-20270-62-2,CS,2/25/2020,,6,60,499,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/2/2020,3/23/2020,,3/5/2020,3/26/2020,30,1,5,3,18,3,24,,,,,
500-1,MK-000-WP-20048-63-1,CS,2/18/2020,,6,60,500,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,2,4,19,2,25,,,,,
501-1,MK-000-WP-20048-64-1,CS,2/18/2020,,6,60,501,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
501-2,MK-000-WP-20048-64-2,CS,2/26/2020,,6,60,501,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/6/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,15,2,7,6,10,,6,5,1,,,
502-1,MK-000-WP-20117-61-1,CS,2/18/2020,,6,60,502,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/25/2020,3/19/2020,,3/4/2020,3/20/2020,31,3,4,8,15,1,24,,,,,
502-2,MK-000-WP-20117-61-2,CS,2/18/2020,,6,60,502,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
503-1,MK-000-WP-20177-60-1,CS,2/18/2020,,6,60,503,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,3/2/2020,3/19/2020,,3/4/2020,3/20/2020,31,3,10,2,15,1,18,,,,,
504-1,MK-000-WP-20178-60-1,CS,2/28/2020,,6,60,504,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,6,4,10,9,23,,,,,
505-1,MK-000-WP-20180-60-1,CS,3/4/2020,,6,60,505,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/10/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,5,3,10,9,22,,,,,
506-1,MK-000-WP-20247-60-1,CS,2/18/2020,,6,60,506,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/23/2020,2/28/2020,3/19/2020,,3/6/2020,3/20/2020,31,5,5,7,13,1,21,,,,,
506-2,MK-000-WP-20247-60-2,CS,2/18/2020,,6,60,506,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,1,6,19,2,27,,,,,
506-3,MK-000-WP-20247-60-3,CS,2/18/2020,,6,60,506,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,2,5,19,2,26,,,,,
506-4,MK-000-WP-20247-60-4,CS,2/18/2020,,6,60,506,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,3,2,2,14,3,19,2,0,,,
507-1,MK-000-WP-20247-61-1,CS,2/26/2020,,6,60,507,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/3/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,15,2,4,9,10,,9,8,1,,,
508-1,MK-000-WP-20266-61-1,CS,2/18/2020,,6,60,508,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/24/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,3,3,19,2,24,,,,,
508-2,MK-000-WP-20266-61-2,CS,2/26/2020,,6,60,508,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/3/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,26,2,4,3,11,6,20,2,1,,,
509-1,MK-000-NI-9528-10-1,CS,2/18/2020,,5,10,509,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
509-2,MK-000-NI-9528-10-2,CS,2/18/2020,,5,10,509,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,2,4,19,2,25,,,,,
509-3,MK-000-NI-9528-10-3,CS,2/18/2020,,5,10,509,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,1,5,14,3,22,5,0,,,
510-1,MK-000-NI-9528-16-1,CS,2/18/2020,,5,10,510,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
510-2,MK-000-NI-9528-16-2,CS,2/18/2020,,5,10,510,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
511-1,MK-000-NI-9528-17-1,CS,2/27/2020,,5,10,511,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/5/2020,3/25/2020,,3/11/2020,3/26/2020,28,3,4,6,14,1,21,,,,,
512-1,MK-000-NI-9528-18-1,CS,2/18/2020,,5,10,512,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
512-2,MK-000-NI-9528-18-2,CS,2/11/2020,,5,10,512,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/12/2020,3/3/2020,,2/14/2020,3/5/2020,23,0,1,2,18,2,22,,,,,
512-3,MK-000-NI-9528-18-3,CS,2/18/2020,,5,10,512,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
513-1,MK-000-NI-9528-19-1,CS,2/27/2020,,5,10,513,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/5/2020,3/25/2020,,3/11/2020,3/26/2020,28,3,4,6,14,1,21,,,,,
513-2,MK-000-NI-9528-19-2,CS,2/18/2020,,5,10,513,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,1,5,14,3,22,5,0,,,
514-1,MK-000-P-9039-10-1,SS,4/13/2020,,5,10,514,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2020,4/27/2020,,,,6/3/2020,51,1,13,,,,,,,,,37
515-1,MK-000-P-9039-14-1,SS,4/9/2020,,5,10,515,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/13/2020,4/28/2020,,,,6/3/2020,55,4,15,,,,,,,,,36
518-1,MK-000-P-9041-13-1,CS,3/13/2020,,5,10,518,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/18/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,24,0,5,6,9,4,19,5,1,,,
519-1,MK-000-P-9044-10-1,CS,2/24/2020,,5,10,519,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/1/2020,3/25/2020,,3/12/2020,3/26/2020,31,3,3,11,13,1,25,,,,,
520-1,MK-000-P-9044-11-1,CS,2/28/2020,,5,10,520,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,6,4,10,9,23,,,,,
520-2,MK-000-P-9044-11-2,CS,2/24/2020,,5,10,520,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/27/2020,3/19/2020,,3/6/2020,3/20/2020,25,2,1,8,13,1,22,,,,,
521-1,MK-000-P-9044-13-1,CS,3/3/2020,,5,10,521,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/7/2020,3/25/2020,,3/12/2020,3/26/2020,23,2,2,5,13,1,19,,,,,
522-1,MK-000-P-9044-14-1,CS,3/3/2020,,5,10,522,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/8/2020,3/25/2020,,3/12/2020,3/26/2020,23,2,3,4,13,1,18,,,,,
523-1,MK-000-P-9045-12-1,SS,4/13/2020,,5,10,523,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2020,5/6/2020,,,,6/3/2020,51,1,22,,,,,,,,,28
524-1,MK-000-P-9217-15-1,CS,2/28/2020,,5,10,524,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/5/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,4,2,5,9,7,21,4,1,,,
524-2,MK-000-P-9217-15-2,CS,3/3/2020,,5,10,524,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/6/2020,3/9/2020,3/25/2020,,3/17/2020,3/26/2020,23,3,3,8,8,1,17,,,,,
524-3,MK-000-P-9217-15-3,CS,3/3/2020,,5,10,524,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/6/2020,3/23/2020,,3/11/2020,3/23/2020,20,2,1,5,12,0,17,,,,,
525-1,MK-000-P-9228-10-1,SS,2/14/2020,,5,10,525,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/25/2020,3/10/2020,,,3/13/2020,28,3,8,,,,,,,14,3,17
525-2,MK-000-P-9228-10-2,SS,2/11/2020,,5,10,525,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/22/2020,3/3/2020,,,3/10/2020,28,1,10,,,,,,,10,7,17
526-1,MK-000-P-9230-10-1,CS,3/9/2020,,5,10,526,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2020,3/12/2020,3/25/2020,,3/16/2020,3/26/2020,17,1,2,4,9,1,14,,,,,
526-2,MK-000-P-9230-10-2,CS,2/24/2020,,5,10,526,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/6/2020,3/20/2020,25,2,2,7,13,1,21,,,,,
527-1,MK-000-P-9230-11-1,CS,3/3/2020,,5,10,527,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/6/2020,3/23/2020,,3/11/2020,3/23/2020,20,2,1,5,12,0,17,,,,,
528-1,MK-000-P-9230-12-1,CS,3/3/2020,,5,10,528,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/6/2020,3/23/2020,,3/11/2020,3/23/2020,20,2,1,5,12,0,17,,,,,
529-1,MK-000-P-9328-10-1,SS,2/14/2020,,5,10,529,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/24/2020,3/10/2020,,,3/13/2020,28,5,5,,,,,,,15,3,18
530-1,MK-000-P-9331-11-1,CS,2/28/2020,,5,10,530,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/5/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,4,2,5,9,7,21,4,1,,,
531-1,MK-000-P-9331-12-1,CS,2/28/2020,,5,10,531,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,33,4,6,4,10,9,23,,,,,
531-2,MK-000-P-9331-12-2,CS,3/3/2020,,5,10,531,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/6/2020,3/8/2020,3/25/2020,,3/17/2020,3/26/2020,23,3,2,9,8,1,18,,,,,
531-3,MK-000-P-9331-12-3,CS,3/3/2020,,5,10,531,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/6/2020,3/23/2020,,3/11/2020,3/23/2020,20,2,1,5,12,0,17,,,,,
532-1,MK-000-P-9331-13-1,CS,2/18/2020,,5,10,532,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/24/2020,2/28/2020,3/19/2020,,3/6/2020,3/20/2020,31,6,4,7,13,1,21,,,,,
532-2,MK-000-P-9331-13-2,CS,3/13/2020,,5,10,532,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/19/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,24,0,6,5,9,4,18,4,1,,,
533-1,MK-000-P-9356-20-1,SS,2/14/2020,,7,20,533,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/26/2020,3/4/2020,,,3/11/2020,26,3,9,,,,,,,7,7,14
533-2,MK-000-P-9356-20-2,SS,2/11/2020,,7,20,533,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/20/2020,3/2/2020,,,3/13/2020,31,1,8,,,,,,,11,11,22
533-3,MK-000-P-9356-20-3,SS,2/28/2020,,7,20,533,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/3/2020,3/7/2020,,,3/18/2020,19,0,4,,,,,,,4,11,15
534-1,MK-000-P-9356-21-1,SS,2/28/2020,,7,20,534,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/4/2020,3/7/2020,,,3/18/2020,19,0,5,,,,,,,3,11,14
534-2,MK-000-P-9356-21-2,SS,2/14/2020,,7,20,534,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/22/2020,3/2/2020,,,3/13/2020,28,3,5,,,,,,,9,11,20
534-3,MK-000-P-9356-21-3,SS,2/11/2020,,7,20,534,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,3/2/2020,,,3/18/2020,36,1,7,,,,,,,12,16,28
535-1,MK-000-S5-9491-13-1,CS,2/20/2020,,5,10,535,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/25/2020,2/29/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,32,5,4,6,11,6,23,5,1,,,
536-1,MK-000-S5-9525-19-1,CS,2/18/2020,,5,10,536,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
536-2,MK-000-S5-9525-19-2,CS,2/11/2020,,5,10,536,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/13/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,2,6,13,2,21,5,1,,,
536-3,MK-000-S5-9525-19-3,CS,2/27/2020,,5,10,536,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/5/2020,3/25/2020,,3/11/2020,3/26/2020,28,3,4,6,14,1,21,,,,,
536-4,MK-000-S5-9525-19-4,CS,2/18/2020,,5,10,536,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,1,5,14,3,22,5,0,,,
537-1,MK-000-WP-20240-60-1,CS,2/18/2020,,6,60,537,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/24/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,3,9,13,2,24,,,,,
538-1,MK-000-AV-20101-60-1,CS,2/18/2020,,6,60,538,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/28/2020,3/19/2020,30,3,2,5,18,2,25,,,,,
538-2,MK-000-AV-20101-60-2,CS,2/18/2020,,6,60,538,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/26/2020,3/19/2020,,3/4/2020,3/20/2020,31,4,4,7,15,1,23,,,,,
539-1,MK-000-AV-20109-60-1,CS,2/18/2020,,6,60,539,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/27/2020,3/19/2020,,3/4/2020,3/20/2020,31,4,5,6,15,1,22,,,,,
539-2,MK-000-AV-20109-60-2,CS,2/18/2020,,6,60,539,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/25/2020,3/17/2020,,3/4/2020,3/19/2020,30,4,3,8,13,2,23,,,,,
539-3,MK-000-AV-20109-60-3,CS,2/18/2020,,6,60,539,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,2,4,19,2,25,,,,,
540-1,MK-000-BFW-9375-55-1,CS,2/25/2020,,8,50,540,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/27/2020,3/23/2020,,3/13/2020,4/1/2020,36,1,1,15,10,9,34,,,,,
540-2,MK-000-BFW-9375-55-2,CS,2/25/2020,,8,50,540,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/27/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,30,1,1,12,9,7,28,11,1,,,
541-1,MK-000-CF-9374-55-1,CS,2/11/2020,,8,50,541,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/13/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,2,6,13,2,21,5,1,,,
542-1,MK-000-CWR-9119-55-1,CS,2/18/2020,,8,50,542,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/23/2020,,3/1/2020,3/2/2020,3/17/2020,28,1,4,8,,,23,7,1,,,
542-2,MK-000-CWR-9119-55-2,CS,2/18/2020,,8,50,542,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/25/2020,3/12/2020,3/2/2020,3/3/2020,3/17/2020,28,1,6,7,9,5,21,6,1,,,
543-1,MK-000-CWR-20031-61-1,CS,2/18/2020,,6,60,543,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/8/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,23,15,4,4,10,,4,3,1,,,
543-2,MK-000-CWR-20031-61-2,CS,2/24/2020,,6,60,543,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,1,5,15,1,21,,,,,
544-1,MK-000-CWR-20107-60-1,CS,2/20/2020,,6,60,544,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/10/2020,3/27/2020,3/16/2020,3/18/2020,3/30/2020,39,6,13,8,9,3,20,6,2,,,
544-2,MK-000-CWR-20107-60-2,CS,2/20/2020,,6,60,544,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/7/2020,3/26/2020,3/16/2020,3/18/2020,3/30/2020,39,12,4,11,8,4,23,9,2,,,
545-1,MK-000-CWR-20108-60-1,CS,2/18/2020,,6,60,545,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/24/2020,3/12/2020,3/2/2020,3/3/2020,3/17/2020,28,1,5,8,9,5,22,7,1,,,
545-2,MK-000-CWR-20108-60-2,CS,2/18/2020,,6,60,545,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/24/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,5,1,14,3,18,1,0,,,
546-1,MK-000-CWR-20108-61-1,CS,2/20/2020,,6,60,546,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/10/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,39,13,6,7,9,4,20,3,4,,,
547-1,MK-000-CWS-9376-55-1,CS,2/18/2020,,8,50,547,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/22/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,1,3,3,14,3,20,3,0,,,
547-2,MK-000-CWS-9376-55-2,CS,2/18/2020,,8,50,547,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/28/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,34,1,9,7,11,6,24,6,1,,,
548-1,MK-000-GLS-20197-63-1,CS,2/27/2020,,6,60,548,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/29/2020,3/4/2020,3/23/2020,,3/11/2020,3/23/2020,25,2,4,7,12,0,19,,,,,
548-2,MK-000-GLS-20197-63-2,CS,2/18/2020,,6,60,548,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/25/2020,2/28/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,34,7,3,7,11,6,24,6,1,,,
548-3,MK-000-GLS-20197-63-3,CS,2/18/2020,,6,60,548,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/25/2020,3/3/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,23,7,7,9,10,,9,8,1,,,
548-4,MK-000-GLS-20197-63-4,CS,2/18/2020,,6,60,548,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/25/2020,2/27/2020,3/12/2020,3/2/2020,3/3/2020,3/17/2020,28,7,2,5,9,5,19,4,1,,,
549-1,MK-000-IA-9135-55-1,CS,2/19/2020,,8,50,549,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/26/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,36,1,6,13,9,7,29,12,1,,,
549-2,MK-000-IA-9135-55-2,CS,2/18/2020,,8,50,549,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/25/2020,,3/1/2020,3/2/2020,3/17/2020,28,3,4,6,,,21,5,1,,,
550-1,MK-000-NG-9145-55-1,CS,2/24/2020,,8,50,550,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,2,5,15,1,21,,,,,
551-1,MK-000-NG-9235-02-1,CS,2/24/2020,,5,10,551,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,2,5,15,1,21,,,,,
551-2,MK-000-NG-9235-02-2,CS,2/24/2020,,5,10,551,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,2,5,15,1,21,,,,,
551-3,MK-000-NG-9235-02-3,CS,2/25/2020,,5,10,551,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/2/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,30,1,5,8,9,7,24,7,1,,,
552-1,MK-000-NG-9824-02-1,CS,2/24/2020,,5,10,552,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,1,5,15,1,21,,,,,
552-2,MK-000-NG-9824-02-2,CS,2/24/2020,,5,10,552,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/3/2020,3/23/2020,,3/11/2020,3/23/2020,28,3,5,8,12,0,20,,,,,
552-2R,MK-000-NG-9824-02-2R,CS,2/24/2020,,5,10,552,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/17/2020,3/19/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,42,22,2,5,9,4,18,4,1,,,
553-1,MK-000-NG-9824-03-1,CS,2/11/2020,,5,10,553,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/17/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,31,0,6,8,14,3,25,8,0,,,
553-2,MK-000-NG-9824-03-2,CS,2/19/2020,,5,10,553,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/26/2020,3/23/2020,,3/5/2020,3/26/2020,36,1,6,8,18,3,29,,,,,
