spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
125-1,MK-000-S5-9414-40-1,CS,3/4/2020,,2,40,125,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,4,4,10,9,23,,,,,
125-2,MK-000-S5-9414-40-2,CS,2/18/2020,,2,40,125,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/24/2020,3/17/2020,,2/28/2020,3/19/2020,30,3,3,4,18,2,24,,,,,
127-1,MK-000-S5-9414-41-1,CS,2/27/2020,,2,40,127,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/3/2020,3/23/2020,,3/11/2020,3/23/2020,25,3,2,8,12,0,20,,,,,
128-1,MK-000-S5-9414-42-1,CS,2/26/2020,,2,40,128,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/6/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,15,2,7,6,10,,6,5,1,,,
129-1,MK-000-S5-9640-40-1,CS,2/6/2020,,2,40,129,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
130-1,MK-000-S5-9640-41-1,CS,2/27/2020,,2,40,130,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/8/2020,3/25/2020,,3/12/2020,3/26/2020,28,3,7,4,13,1,18,,,,,
131-1,MK-000-S5-9640-42-1,CS,2/26/2020,,2,40,131,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/7/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,33,2,8,10,9,4,23,6,4,,,
132-1,MK-000-S15-9036-70-1,CS,2/20/2020,,1,70,132,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/12/2020,3/27/2020,3/16/2020,3/18/2020,3/30/2020,39,12,9,6,9,3,18,4,2,,,
132-2,MK-000-S15-9036-70-2,CS,2/18/2020,,1,70,132,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,2,5,19,2,26,,,,,
133-1,MK-000-S15-9790-70-1,CS,2/20/2020,,1,70,133,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/29/2020,3/7/2020,3/26/2020,3/13/2020,3/18/2020,3/30/2020,39,9,7,11,8,4,23,6,5,,,
