,,0,0,,,,,,,,,,,,,,,,,,,23-Jun-20,New,,,Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Priority Group,Priority Date,Priority #,Area,Material,CWA #,Pipe Spec.,Painting Spec.,Pipeline Reference,Spool ID,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Release Date,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,,BF,WORKABLE 4/29/20,WORKABLE 4/27/20,WORKABLE 4/13/20,WORKABLE 4/9/20,WORKABLE 4/3/20,WORKABLE 3/25/20,WORKABLE 3/23/20,WORKABLE 3/18/20,WORKABLE 3/16/20,WORKABLE 3/12/20,WORKABLE 3/11/20,WORKABLE 3/9/20,WORKABLE 3/5/20,WORKABLE 3/4/20,WORKABLE 3/2/20,WORKABLE 2/28/20,WORKABLE 2/27/20,WORKABLE 2/26/20,WORKABLE 2/25/20,WORKABLE 2/24/20,WORKABLE 2/20/20,WORKABLE 2/18/20,WORKABLE 2/17/20,WORKABLE 2/14/20,WORKABLE 2/13/20,WORKABLE 2/11/20,WORKABLE 2/10/20,WORKABLE 2/5/20
20,20-1,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32057-41,MK-000-FW-32057-41-1A,"900-FW-32057-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,17.952,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,20-2,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32057-41,MK-000-FW-32057-41-2,"900-FW-32057-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,11.968,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,21-1,ISS,ISS,TX,2/18/2020,,2/3/2020,3,30,CS,CWA-5,T6CH2S99,19,000-P-9907-32,MK-000-P-9907-32-1,"900-P-9907-2""-T6CH2S99-ETW-1 1/2""-HC",,,,,,,22,,0,,,,,,,2.72,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21-1,#N/A,#N/A,#N/A,#N/A,#N/A
22,22-1,ISS,ISS,M,2/19/2020,,2/3/2020,3,30,CS,CWA-5,T3CH2S99,19,000-P-9908-31,MK-000-P-9908-31-1,"900-P-9908-2""-T3CH2S99-ETW-1 1/2""-HC",,,,,,,22,,0,,,,,,,9.376,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22-1,22-1,#N/A,#N/A,#N/A,#N/A,#N/A
23,23-1,ISS,ISS,TX,2/18/2020,,2/3/2020,3,30,CS,CWA-5,T3CH2S99,19,000-P-9908-33,MK-000-P-9908-33-1,"900-P-9908-3""-T3CH2S99-ETW-1 1/2""-HC",,,,,,,22,,0,,,,,,,0.848,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23-1,#N/A,#N/A,#N/A,#N/A,#N/A
23,23-2,ISS,ISS,TX,2/18/2020,,2/3/2020,3,30,CS,CWA-5,T3CH2S99,19,000-P-9908-33,MK-000-P-9908-33-2,"900-P-9908-3""-T3CH2S99-ETW-1 1/2""-HC",,,,,,,22,,0,,,,,,,0.848,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23-2,#N/A,#N/A,#N/A,#N/A,#N/A
24,24-1,ISS,ISS,TX,2/27/2020,,2/3/2020,1,70,CS,CWA-5,T9CB2S01,19,000-P-9026-70,MK-000-P-9026-70-1,"900-P-9026-8""-T9CB2S01-ET-2""-HC",,,,,,,23,,0,,,,,,,16.4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,24-2,ISS,ISS,TX,2/27/2020,,2/3/2020,1,70,CS,CWA-5,T9CB2S01,19,000-P-9026-70,MK-000-P-9026-70-2,"900-P-9026-8""-T9CB2S01-ET-2""-HC",,,,,,,23,,0,,,,,,,7.184,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,25-1,ISS,ISS,TX,2/27/2020,,2/3/2020,1,70,CS,CWA-5,T9CB2S01,19,000-P-9026-71,MK-000-P-9026-71-1,"900-P-9026-8""-T9CB2S01-ET-2""-HC",,,,,,,23,,0,,,,,,,14.368,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,26-1,ISS,ISS,M,2/28/2020,,2/3/2020,1,70,CS,CWA-5,T9CB2S01,19,000-P-9028-70,MK-000-P-9028-70-1,"900-P-9028-6""-T9CB2S01-ET-1 1/2""-HC",,,,,,,23,,0,,,,,,,13.488,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,26-2,ISS,ISS,PA,2/20/2020,,2/3/2020,1,70,CS,CWA-5,T9CB2S01,19,000-P-9028-70,MK-000-P-9028-70-2,"900-P-9028-6""-T9CB2S01-ET-1 1/2""-HC",,,,,,,23,,0,,,,,,,5.04,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
