,1773,,,,,,1773,1773,1773,1773,110,0,1750,0,689,1492,1288,1398,1772,,,,,,,
SHOP,ISO NO,PIECEMARK,REF. DWG.,LINE NO.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,PHASE,ON HOLD,OFF HOLD,HYDRO,HYDRO DATE
BR        ,     330-2,MK-000-P-9054-20-2,000-P-9054-20                                ,"900-P-9054-14""-T6NS5S01-ETW-2 1/2""-HC        ",NO COATING               ,-                   ,02/12/2020,02/13/2020,02/18/2020,02/19/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     331-1,MK-000-P-9054-22-1,000-P-9054-22                                ,"900-P-9054-10""-T6NS5S01-ETW-2""-HC            ",NONE                     ,-                   ,02/12/2020,02/13/2020,02/14/2020,02/18/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     331-2,MK-000-P-9054-22-2,000-P-9054-22                                ,"900-P-9054-10""-T6NS5S01-ETW-2""-HC            ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/24/2020,02/25/2020,,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     331-3,MK-000-P-9054-22-3,000-P-9054-22                                ,"900-P-9054-10""-T6NS5S01-ETW-2""-HC            ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/21/2020,02/22/2020,,,03/03/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     331-4,MK-000-P-9054-22-4,000-P-9054-22                                ,"900-P-9054-10""-T6NS5S01-ETW-2""-HC            ",NONE                     ,-                   ,02/12/2020,02/14/2020,02/19/2020,02/19/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     332-1,MK-000-P-9054-24-1,000-P-9054-24                                ,"900-P-9054-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/12/2020,02/14/2020,02/18/2020,02/19/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     332-2,MK-000-P-9054-24-2,000-P-9054-24                                ,"900-P-9054-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/12/2020,02/18/2020,02/19/2020,02/21/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     334-1,MK-000-P-9100-21-1,000-P-9100-21                                ,"900-P-9100-10""-T9SL5S01-NT-1 1/2""-HC(PG)     ",NO COATING               ,-                   ,02/17/2020,02/24/2020,02/25/2020,02/25/2020,03/06/2020,,03/10/2020,,,,,03/04/2020,03/11/2020,B3005     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     335-1,MK-000-P-9101-20-1,000-P-9101-20                                ,"900-P-9101-14""-T6NQ5S01-ETW-2 1/2""-PF        ",NONE                     ,-                   ,02/26/2020,02/27/2020,03/05/2020,03/06/2020,,,03/13/2020,,,,,03/17/2020,03/18/2020,B3006     ,T6NQ5S01  ,CWA-5     ,,,N/A   ,
BR        ,     342-1,MK-000-P-9262-20-1,000-P-9262-20                                ,"900-P-9262-16""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,03/13/2020,03/16/2020,03/18/2020,03/19/2020,03/26/2020,,03/24/2020,,,,,04/01/2020,04/06/2020,B3007     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     342-2,MK-000-P-9262-20-2,000-P-9262-20                                ,"900-P-9262-16""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,03/13/2020,03/16/2020,03/19/2020,03/19/2020,03/26/2020,,03/24/2020,,,,,04/01/2020,04/06/2020,B3007     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     342-3,MK-000-P-9262-20-3,000-P-9262-20                                ,"900-P-9262-16""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,03/13/2020,03/16/2020,03/18/2020,03/18/2020,03/26/2020,,03/24/2020,,,,,04/01/2020,04/06/2020,B3007     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     344-1,MK-00-P-9264-20-1,000-P-9264-20                                ,"900-P-9264-14""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/17/2020,02/18/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     344-2,MK-00-P-9264-20-2,000-P-9264-20                                ,"900-P-9264-14""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/25/2020,02/25/2020,03/03/2020,,02/28/2020,,,,,03/02/2020,03/13/2020,B3004     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     344-3,MK-00-P-9264-20-3,000-P-9264-20                                ,"900-P-9264-14""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/14/2020,02/17/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     344-4,MK-00-P-9264-20-4,000-P-9264-20                                ,"900-P-9264-14""-T9SL5S01-ETW-4""-HC            ",NONE                     ,-                   ,02/06/2020,02/10/2020,02/14/2020,02/14/2020,02/21/2020,,02/20/2020,,,,,02/28/2020,03/02/2020,B3001     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     345-2,MK-000-P-9292-20-2,000-P-9292-20                                ,"900-P-9292-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/19/2020,02/20/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     345-3,MK-000-P-9292-20-3,000-P-9292-20                                ,"900-P-9292-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/18/2020,02/19/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     345-4,MK-000-P-9292-20-4,000-P-9292-20                                ,"900-P-9292-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/12/2020,02/14/2020,02/19/2020,02/21/2020,,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     346-1,MK-000-P-9292-21-1,000-P-9292-21                                ,"900-P-9292-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/13/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     346-2,MK-000-P-9292-21-2,000-P-9292-21                                ,"900-P-9292-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     347-1,MK-000-P-9300-20-1,000-P-9300-20                                ,"900-P-9300-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     347-2,MK-000-P-9300-20-2,000-P-9300-20                                ,"900-P-9300-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     348-1,MK-000-P-9300-21-1,000-P-9300-21                                ,"900-P-9300-8""-T6NS5S01-ETW-2""-HC             ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
