Piping Line List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1019,:Total Isos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Name:,CP CHEM,,,,,,,,,1019,:Total Spools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job No:,7052,,,,,,,,,300,:Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fab. Location:,,,,,,,,,,264,:Issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,755,:Isos not Issued for fab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,716,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,RTI,,,,,,,,,,,,,,,,,,,,Transmittal Summary,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,1,,,,,,,,,,,,,,,,,,,,19-Aug-20,New,,,Revisions,,,,,,,,,,,,,,,,,,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Priority #,Area,Construction Phase,Material,Pipe Spec.,Painting Spec.,Top Coat,INSULATION,Pipeline Reference,Spool ID,Line Size ,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Release Date,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,BLINDS,HYDRO,PSI,SHOT PEENING,NDE CHECKED,,8-18-20 WORKABLE,8-17-20 WORKABLE,8-13-20 WORKABLE,8-3-20 WORKABLE,8-3-20 /2 WORKABLE,8-4-20 WORKABLE,8-5-20 WORKABLE,8-6-20 WORKABLE,8-10-20 WORKABLE,8-10-20 #2 WORKABLE,8-11-20 WORKABLE
16,16-2,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-102338.01,PK101XA-C-102338.01-2,"1.1/2""",PK101XA-C-102338.01,Need,,,,,,1,6/23/2020,0,,,,,,,,Shop,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,17-1,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-102338.02,PK101XA-C-102338.02-1,"1.1/2""",PK101XA-C-102338.02,Need,,,RFI-9,,,1,6/23/2020,0,,,,,,,,?,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,17-2,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-102338.02,PK101XA-C-102338.02-2,"1.1/2""",PK101XA-C-102338.02,Need,HOLD,,RFI-9,,,1,6/23/2020,0,,,,,,,,?,113,,,,17-2,17-2,17-2,#N/A,17-2,17-2,17-2,17-2,17-2,17-2,17-2
17,17-3,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-102338.02,PK101XA-C-102338.02-3,"1.1/2""",PK101XA-C-102338.02,Need,HOLD,,RFI-9,,,1,6/23/2020,0,,,,,,,,?,113,,,,17-3,17-3,17-3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17-3
18,18-1,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-102338.03,PK101XA-C-102338.03-1,"1.1/2""",PK101XA-C-102338.03,Need,,,,,,1,6/23/2020,0,,,,,,,,Shop,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,19-1,,UP,,,7,J05,6P,304/304L SS,FB8,N/A,NONE,N,PK101XA-C-102339.01,PK101XA-C-102339.01-1,"1""",PK101XA-C-102339.01,Need,,,,,,1,6/23/2020,0,,,,,,,,?,112.5,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,20-1,,UP,,,7,J05,6P,304/304L SS,FB8,N/A,NONE,N,PK101XA-C-102340.01,PK101XA-C-102340.01-1,"1""",PK101XA-C-102340.01,Need,,,,,,1,6/23/2020,0,,,,,,,,?,112.5,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,21-1,,UP,,,11,J13,60,CS,AB0,12.1,GREEN,CC,PK101XA-CCW-1502.01,PK101XA-CCW-1502.01-1,"8""",PK101XA-CCW-1502.01,,HOLD,,,,,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,21-1,21-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21-1,21-1,21-1
21,21-2,,UP,,,11,J13,60,CS,AB0,12.1,GREEN,CC,PK101XA-CCW-1502.01,PK101XA-CCW-1502.01-2,"8""",PK101XA-CCW-1502.01,,HOLD,,,,,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,21-2,21-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21-2
22,22-1,,UP,,,11,J18,50,CS,AB0,12.1,GREEN,CC,PK101XA-CCW-1504.01,PK101XA-CCW-1504.01-1,"8""",PK101XA-CCW-1504.01,,HOLD,,,,,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,22-1,22-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22-1,22-1,22-1
22,22-2,,UP,,,11,J18,50,CS,AB0,12.1,GREEN,CC,PK101XA-CCW-1504.01,PK101XA-CCW-1504.01-2,"8""",PK101XA-CCW-1504.01,,HOLD,,,,,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,22-2,22-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22-2
23,23-1,,UP,,,12,J01,TUS,CS,AB0,12.1,-,CC,PK101XA-CCW-1513.01,PK101XA-CCW-1513.01-1,"10""",PK101XA-CCW-1513.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,120,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,23-2,ISS,ISS,PA,8/17/2020,12,J01,TUS,CS,AB0,12.1,-,CC,PK101XA-CCW-1513.01,PK101XA-CCW-1513.01-2,"10""",PK101XA-CCW-1513.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,120,,,,#N/A,23-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,23-3,ISS,ISS,PA,8/13/2020,12,J01,TUS,CS,AB0,12.1,-,CC,PK101XA-CCW-1513.01,PK101XA-CCW-1513.01-3,"10""",PK101XA-CCW-1513.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,120,,,,#N/A,#N/A,23-3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,24-1,ISS,ISS,PA,8/17/2020,12,J01,TUS,CS,AB0,12.1,-,CC,PK101XA-CCW-1514.01,PK101XA-CCW-1514.01-1,"10""",PK101XA-CCW-1514.01,,,,RFI-5,,FAIL FILE,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,#N/A,24-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,24-2,,UP,,,12,J01,TUS,CS,AB0,12.1,-,CC,PK101XA-CCW-1514.01,PK101XA-CCW-1514.01-2,"10""",PK101XA-CCW-1514.01,,,,RFI-5,,FAIL FILE,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,24-3,ISS,ISS,PA,8/13/2020,12,J01,TUS,CS,AB0,12.1,-,CC,PK101XA-CCW-1514.01,PK101XA-CCW-1514.01-3,"10""",PK101XA-CCW-1514.01,,,,RFI-5,,FAIL FILE,1,6/23/2020,0,,,,,,,,Field/Service,90,,,,#N/A,#N/A,24-3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,25-1,,UP,,,12,J01,TUS,CS,AB0,12.1,NONE,CC,PK101XA-CCW-3888.01,PK101XA-CCW-3888.01-1,"1""",PK101XA-CCW-3888.01,,,,,,,1,6/23/2020,0,16,8/4/2020,1,,,,,Field/Service,120,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25-1
25,25-2,,UP,,,12,J01,TUS,CS,AB0,12.1,NONE,CC,PK101XA-CCW-3888.01,PK101XA-CCW-3888.01-2,"1""",PK101XA-CCW-3888.01,,,,,,,1,6/23/2020,0,16,8/4/2020,1,,,,,Field/Service,120,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25-2
25,25-3,ISS,ISS,PA,8/6/2020,12,J01,TUS,CS,AB0,12.1,NONE,CC,PK101XA-CCW-3888.01,PK101XA-CCW-3888.01-3,"1""",PK101XA-CCW-3888.01,,,,,,,1,6/23/2020,0,16,8/4/2020,1,,,,,Field/Service,120,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25-3,25-3,#N/A,#N/A,#N/A
26,26-1,,UP,,,12,J01,TUS,CS,AB0,12.1,NONE,CC,PK101XA-CCW-3888A.01,PK101XA-CCW-3888A.01-1,"1""",PK101XA-CCW-3888A.01,,,,,,,1,6/23/2020,0,16,8/4/2020,1,,,,,Field/Service,90,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26-1
26,26-2,,UP,,,12,J01,TUS,CS,AB0,12.1,NONE,CC,PK101XA-CCW-3888A.01,PK101XA-CCW-3888A.01-2,"1""",PK101XA-CCW-3888A.01,,,,,,,1,6/23/2020,0,16,8/4/2020,1,,,,,Field/Service,90,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,26-3,ISS,ISS,PA,8/6/2020,12,J01,TUS,CS,AB0,12.1,NONE,CC,PK101XA-CCW-3888A.01,PK101XA-CCW-3888A.01-3,"1""",PK101XA-CCW-3888A.01,,,,,,,1,6/23/2020,0,16,8/4/2020,1,,,,,Field/Service,90,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26-3,26-3,#N/A,#N/A,#N/A
27,27-1,ISS,ISS,PA,8/13/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1539.01,PK101XA-CW-1539.01-1,"10""",PK101XA-CW-1539.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,60,,,,#N/A,#N/A,27-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27,27-2,ISS,ISS,PA,8/5/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1539.01,PK101XA-CW-1539.01-2,"10""",PK101XA-CW-1539.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,60,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27-2,#N/A,#N/A,#N/A,#N/A
28,28-1,ISS,ISS,PA,8/5/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1539.02,PK101XA-CW-1539.02-1,"10""",PK101XA-CW-1539.02,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,60,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28-1,#N/A,#N/A,#N/A,#N/A
29,29-1,ISS,ISS,PA,8/17/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1540.01,PK101XA-CW-1540.01-1,"10""",PK101XA-CW-1540.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,30,,,,#N/A,29-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30,30-1,ISS,ISS,PA,8/13/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1540.02,PK101XA-CW-1540.02-1,"10""",PK101XA-CW-1540.02,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,30,,,,#N/A,#N/A,30-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30,30-2,ISS,ISS,PA,8/5/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1540.02,PK101XA-CW-1540.02-2,"10""",PK101XA-CW-1540.02,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,30,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30-2,#N/A,#N/A,#N/A,#N/A
31,31-1,ISS,ISS,PA,8/11/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1557.01,PK101XA-CW-1557.01-1,"2""",PK101XA-CW-1557.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,60,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31-1,#N/A,#N/A
32,32-1,ISS,ISS,PA,8/11/2020,11,J18,50,CS,AB0,3.1,GREEN,N,PK101XA-CW-1558.01,PK101XA-CW-1558.01-1,"2""",PK101XA-CW-1558.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,30,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32-1,#N/A,#N/A
33,33-1,ISS,ISS,PA,8/13/2020,11,J13,60,CS,AB0,3.1,GREEN,N,PK101XA-CW-100420.01,PK101XA-CW-100420.01-1,"10""",PK101XA-CW-100420.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,60,,,,#N/A,#N/A,33-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34,34-1,ISS,ISS,PA,8/5/2020,11,J13,60,CS,AB0,3.1,GREEN,N,PK101XA-CW-100420.02,PK101XA-CW-100420.02-1,"10""",PK101XA-CW-100420.02,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,60,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34-1,#N/A,#N/A,#N/A,#N/A
35,35-1,ISS,ISS,PA,8/13/2020,11,J13,60,CS,AB0,3.1,GREEN,N,PK101XA-CW-100421.01,PK101XA-CW-100421.01-1,"10""",PK101XA-CW-100421.01,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,30,,,,#N/A,#N/A,35-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36,36-1,ISS,ISS,PA,8/13/2020,11,J13,60,CS,AB0,3.1,GREEN,N,PK101XA-CW-100421.02,PK101XA-CW-100421.02-1,"10""",PK101XA-CW-100421.02,,,,,,,1,6/23/2020,0,,,,,,,,Field/Service,30,,,,#N/A,#N/A,36-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
43,43-1,ISS,ISS,PA,8/6/2020,1,J30,6P,CS,AA4,3.1,RED,N,PK101XA-FW-150001.01,PK101XA-FW-150001.01-1,"12""",PK101XA-FW-150001.01,,,,RFI-6,,,1,6/23/2020,0,,,,,,,,?,300,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43-1,#N/A,#N/A,#N/A
44,44-1,ISS,ISS,BR,8/17/2020,11,J18,50,304/304L SS,FB8,NONE,-,N,PK101XA-P-1504.01,PK101XA-P-1504.01-1,"8""",PK101XA-P-1504.01,Yes,,,,,,1,6/23/2020,0,,,,,,,,?,76.5,,,,#N/A,44-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
44,44-2,ISS,ISS,BR,8/11/2020,11,J18,50,304/304L SS,FB8,NONE,-,N,PK101XA-P-1504.01,PK101XA-P-1504.01-2,"8""",PK101XA-P-1504.01,Need,,,,,,1,6/23/2020,0,,,,,,,,?,76.5,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44-2,#N/A
45,45-1,ISS,ISS,BR,8/4/2020,11,J18,50,304/304L SS,FB8,NONE,-,N,PK101XA-P-1504.02,PK101XA-P-1504.02-1,"6""",PK101XA-P-1504.02,Yes,,,,,,1,6/23/2020,0,,,,,,,,Shop,76.5,,,,#N/A,#N/A,#N/A,45-1,#N/A,45-1,#N/A,#N/A,#N/A,#N/A,#N/A
