Sheetsketc,Pcmkipcmar,Sheetrefdw,Sheetclien,Sheetclie1,Sheetlinen,Sheetpaint,Sheettopco,Sheetprior,Sheetprio1,Pulltranda,_1fittrand,Ffittranda,Wouttranda,Strestrand,Bastrandat,Sqctrandat,Cqctrandat,Rtctrandat,Stctrandat,Atstrandat,Rtstrandat,Sitetranda,Idfilloadn,Sheetbomco,Sheetlines,Sheetphase,Idfilonhol,Idfiloffho,Sheetshoph,Hydrotrand,Jobsjobpla,Sheetcusts,Sheettrans,Sheetpwht,Sheetpmi,Sheetfabco,Pcmkiitemw,Sheetsum_f,Sheetrevle
     202-7,PK110XA-C-102338.01-7         ,PK110XA-C-102338.01                          ,0,1,"2""-PK110XA-C-102338.01                       ",12.4,-                   ,,6P        ,8/25/2020,8/31/2020,9/1/2020,9/1/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/22/2020,BR        ,7052,1,N/A   ,YES   ,110,,18.63,1
     201-1,PK110XA-C-97624.01-1          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,9/17/2020,9/22/2020,9/23/2020,9/24/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,10/5/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.1,0
    201-10,PK110XA-C-97624.01-10         ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/31/2020,9/1/2020,9/1/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/22/2020,BR        ,7052,1,N/A   ,YES   ,110,,4.82,1
    201-11,PK110XA-C-97624.01-11         ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,9/2/2020,9/8/2020,9/10/2020,9/10/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/14/2020,BR        ,7052,1,N/A   ,YES   ,110,,,1
     201-2,PK110XA-C-97624.01-2          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,9/1/2020,9/1/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/22/2020,BR        ,7052,1,N/A   ,YES   ,110,1.2,19.58,1
     201-3,PK110XA-C-97624.01-3          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,9/1/2020,9/1/2020,9/2/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/23/2020,BR        ,7052,1,N/A   ,YES   ,110,,20.41,1
     201-4,PK110XA-C-97624.01-4          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,8/31/2020,8/31/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/17/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.58,1
     201-5,PK110XA-C-97624.01-5          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,9/1/2020,9/1/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/14/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.58,1
     201-6,PK110XA-C-97624.01-6          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,9/1/2020,9/1/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/14/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.58,1
     201-7,PK110XA-C-97624.01-7          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,8/31/2020,8/31/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/23/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.58,1
     201-8,PK110XA-C-97624.01-8          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,8/31/2020,8/31/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/17/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.58,1
     201-9,PK110XA-C-97624.01-9          ,PK110XA-C-97624.01                           ,0,1,"1 1/2""-PK110XA-C-97624.01                    ",12.4,-                   ,,6P        ,8/25/2020,8/28/2020,9/1/2020,9/1/2020,,,10/5/2020,,,,,,,B2001     ,,FB8       ,J05       ,,,113,9/22/2020,BR        ,7052,1,N/A   ,YES   ,110,,19.59,1
      19-1,PK101XA-C-102339.01-1         ,PK101XA-C-102339.01                          ,0,1,"1""-PK101XA-C-102339.01                       ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/3/2020,9/3/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J05       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,1,1
      20-1,PK101XA-C-102340.01-1         ,PK101XA-C-102340.01                          ,0,1,"1""-PK101XA-C-102340.01                       ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/3/2020,9/3/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J05       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,1,1
      44-2,PK101XA-P-1504.01-2           ,PK101XA-P-1504.01                            ,0,1,"8""-PK101XA-P-1504.01                         ",NONE                     ,-                   ,,50,8/11/2020,8/12/2020,8/12/2020,8/12/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J18       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,,1
      48-4,PK101XA-P-1508.03-4           ,PK101XA-P-1508.03                            ,0,3,"8""-PK101XA-P-1508.03                         ",NONE                     ,-                   ,,50,8/6/2020,8/10/2020,8/10/2020,8/10/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J18       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,,1
      49-2,PK101XA-P-1508.04-2           ,PK101XA-P-1508.04                            ,0,4,"8""-PK101XA-P-1508.04                         ",NONE                     ,-                   ,,50,9/2/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J18       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,,1
      52-2,PK101XA-P-1603.01-2           ,PK101XA-P-1603.01                            ,0,1,"6""-PK101XA-P-1603.01                         ",NONE                     ,-                   ,,60,8/11/2020,8/12/2020,8/12/2020,8/12/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J13       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,,1
      55-2,PK101XA-P-1607.01-2           ,PK101XA-P-1607.01                            ,0,1,"8""-PK101XA-P-1607.01                         ",NONE                     ,-                   ,,60,8/6/2020,8/10/2020,8/10/2020,8/10/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J13       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,,1
    2031-1,PK104XA-CNV-107.03-1          ,PK104XA-CNV-107.03                           ,0,3,"8""-PK104XA-CNV-107.03                        ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2053-1,PK104XA-CNV-1603.03-1         ,PK104XA-CNV-1603.03                          ,0,3,"10""-PK104XA-CNV-1603.03                      ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J01       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2054-1,PK104XA-CNV-1603.04-1         ,PK104XA-CNV-1603.04                          ,0,4,"14""-PK104XA-CNV-1603.04                      ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2055-1,PK104XA-CNV-3003.01-1         ,PK104XA-CNV-3003.01                          ,0,1,"14""-PK104XA-CNV-3003.01                      ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J01       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2056-1,PK104XA-CNV-3003.02-1         ,PK104XA-CNV-3003.02                          ,0,2,"12""-PK104XA-CNV-3003.02                      ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2032-1,PK104XA-CNV-301.04-1          ,PK104XA-CNV-301.04                           ,0,4,"12""-PK104XA-CNV-301.04                       ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2033-1,PK104XA-CNV-301.05-1          ,PK104XA-CNV-301.05                           ,0,5,"12""-PK104XA-CNV-301.05                       ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2034-1,PK104XA-CNV-315.02-1          ,PK104XA-CNV-315.02                           ,0,2,"12""-PK104XA-CNV-315.02                       ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2035-1,PK104XA-CNV-315.03-1          ,PK104XA-CNV-315.03                           ,0,3,"8""-PK104XA-CNV-315.03                        ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J01       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2036-1,PK104XA-CNV-315.04-1          ,PK104XA-CNV-315.04                           ,0,4,"8""-PK104XA-CNV-315.04                        ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2037-1,PK104XA-CNV-315.05-1          ,PK104XA-CNV-315.05                           ,0,5,"8""-PK104XA-CNV-315.05                        ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2038-1,PK104XA-CNV-315.06-1          ,PK104XA-CNV-315.06                           ,0,6,"8""-PK104XA-CNV-315.06                        ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2039-1,PK104XA-CNV-315.07-1          ,PK104XA-CNV-315.07                           ,0,7,"8""-PK104XA-CNV-315.07                        ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2040-1,PK104XA-CNV-315.08-1          ,PK104XA-CNV-315.08                           ,0,8,"12""-PK104XA-CNV-315.08                       ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2041-1,PK104XA-CNV-315.09-1          ,PK104XA-CNV-315.09                           ,0,9,"12""-PK104XA-CNV-315.09                       ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2042-1,PK104XA-CNV-315.10-1          ,PK104XA-CNV-315.10                           ,0,10,"12""-PK104XA-CNV-315.10                       ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2043-1,PK104XA-CNV-325.06-1          ,PK104XA-CNV-325.06                           ,0,6,"14""-PK104XA-CNV-325.06                       ",NONE                     ,-                   ,,60,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2044-1,PK104XA-CNV-325.08-1          ,PK104XA-CNV-325.08                           ,1,8,"14""-PK104XA-CNV-325.08                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2045-1,PK104XA-CNV-325.09-1          ,PK104XA-CNV-325.09                           ,0,9,"14""-PK104XA-CNV-325.09                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2046-1,PK104XA-CNV-325.10-1          ,PK104XA-CNV-325.10                           ,0,10,"14""-PK104XA-CNV-325.10                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2047-1,PK104XA-CNV-325.11-1          ,PK104XA-CNV-325.11                           ,0,11,"14""-PK104XA-CNV-325.11                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2048-1,PK104XA-CNV-325.12-1          ,PK104XA-CNV-325.12                           ,0,12,"14""-PK104XA-CNV-325.12                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2049-1,PK104XA-CNV-325.16-1          ,PK104XA-CNV-325.16                           ,0,16,"14""-PK104XA-CNV-325.16                       ",NONE                     ,-                   ,,TUS       ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J01       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2050-1,PK104XA-CNV-325.17-1          ,PK104XA-CNV-325.17                           ,0,17,"14""-PK104XA-CNV-325.17                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
    2051-1,PK104XA-CNV-325.19-1          ,PK104XA-CNV-325.19                           ,0,19,"14""-PK104XA-CNV-325.19                       ",NONE                     ,-                   ,,6P        ,9/10/2020,9/15/2020,9/15/2020,9/15/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,N         ,J14       ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,104,,,1
     212-3,PK110XA-V-100011.01-3         ,PK110XA-V-100011.01                          ,0,1,"4""-PK110XA-V-100011.01                       ",NONE                     ,-                   ,,TUS       ,8/31/2020,9/2/2020,9/2/2020,9/2/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB9       ,J01       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,110,,,1
     212-4,PK110XA-V-100011.01-4         ,PK110XA-V-100011.01                          ,0,1,"4""-PK110XA-V-100011.01                       ",NONE                     ,-                   ,,TUS       ,8/31/2020,9/2/2020,9/2/2020,9/2/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB9       ,J01       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,110,,,1
     223-2,PM101XA-C-97549.01-2          ,PM101XA-C-97549.01                           ,0,1,"1""-PM101XA-C-97549.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/2/2020,9/3/2020,9/3/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,,1
     223-3,PM101XA-C-97549.01-3          ,PM101XA-C-97549.01                           ,0,1,"1""-PM101XA-C-97549.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.24,1
     224-2,PM101XA-C-97550.01-2          ,PM101XA-C-97550.01                           ,0,1,"1""-PM101XA-C-97550.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/16/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     224-3,PM101XA-C-97550.01-3          ,PM101XA-C-97550.01                           ,0,1,"1""-PM101XA-C-97550.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/8/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     225-2,PM101XA-C-97551.01-2          ,PM101XA-C-97551.01                           ,0,1,"1""-PM101XA-C-97551.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/9/2020,9/10/2020,9/10/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     225-3,PM101XA-C-97551.01-3          ,PM101XA-C-97551.01                           ,0,1,"1""-PM101XA-C-97551.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     226-2,PM101XA-C-97552.01-2          ,PM101XA-C-97552.01                           ,0,1,"1""-PM101XA-C-97552.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/16/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     226-3,PM101XA-C-97552.01-3          ,PM101XA-C-97552.01                           ,0,1,"1""-PM101XA-C-97552.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/8/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     227-2,PM101XA-C-97553.01-2          ,PM101XA-C-97553.01                           ,0,1,"1""-PM101XA-C-97553.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/17/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.33,1
     227-3,PM101XA-C-97553.01-3          ,PM101XA-C-97553.01                           ,0,1,"1""-PM101XA-C-97553.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     228-2,PM101XA-C-97554.01-2          ,PM101XA-C-97554.01                           ,0,1,"1""-PM101XA-C-97554.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/17/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     228-3,PM101XA-C-97554.01-3          ,PM101XA-C-97554.01                           ,0,1,"1""-PM101XA-C-97554.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     229-2,PM101XA-C-97555.01-2          ,PM101XA-C-97555.01                           ,0,1,"1""-PM101XA-C-97555.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/2/2020,9/2/2020,9/3/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,,1
     229-3,PM101XA-C-97555.01-3          ,PM101XA-C-97555.01                           ,0,1,"1""-PM101XA-C-97555.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.33,1
     230-2,PM101XA-C-97556.01-2          ,PM101XA-C-97556.01                           ,0,1,"1""-PM101XA-C-97556.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/17/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     230-3,PM101XA-C-97556.01-3          ,PM101XA-C-97556.01                           ,0,1,"1""-PM101XA-C-97556.01                        ",NONE                     ,-                   ,,-         ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     231-2,PM101XA-C-97557.01-2          ,PM101XA-C-97557.01                           ,0,1,"1""-PM101XA-C-97557.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/17/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     231-3,PM101XA-C-97557.01-3          ,PM101XA-C-97557.01                           ,0,1,"1""-PM101XA-C-97557.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     232-2,PM101XA-C-97558.01-2          ,PM101XA-C-97558.01                           ,0,1,"1""-PM101XA-C-97558.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/17/2020,9/21/2020,9/22/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     233-3,PM101XA-C-97559.01-3          ,PM101XA-C-97559.01                           ,0,1,"1""-PM101XA-C-97559.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/8/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     234-1,PM101XA-C-97560.01-1          ,PM101XA-C-97560.01                           ,0,1,"1""-PM101XA-C-97560.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/8/2020,9/9/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,5.67,1
     234-2,PM101XA-C-97560.01-2          ,PM101XA-C-97560.01                           ,0,1,"1""-PM101XA-C-97560.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/23/2020,9/23/2020,9/24/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/24/2020,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     234-3,PM101XA-C-97560.01-3          ,PM101XA-C-97560.01                           ,0,1,"1""-PM101XA-C-97560.01                        ",NONE                     ,-                   ,,6P        ,8/31/2020,9/3/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,101,,0.25,1
     235-1,PM101XA-C-97625.01-1          ,PM101XA-C-97625.01                           ,0,1,"1 1/2""-PM101XA-C-97625.01                    ",NONE                     ,-                   ,,6P        ,8/25/2020,9/2/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,23.33,1
     236-1,PM101XA-C-97625.02-1          ,PM101XA-C-97625.02                           ,0,2,"1 1/2""-PM101XA-C-97625.02                    ",NONE                     ,-                   ,,6P        ,8/25/2020,9/2/2020,9/3/2020,9/8/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,33,23.9,1
     236-2,PM101XA-C-97625.02-2          ,PM101XA-C-97625.02                           ,0,2,"1 1/2""-PM101XA-C-97625.02                    ",NONE                     ,-                   ,,6P        ,8/25/2020,8/31/2020,9/1/2020,9/2/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,17.61,1
     238-2,PM101XA-C-97625.04-2          ,PM101XA-C-97625.04                           ,0,4,"1 1/2""-PM101XA-C-97625.04                    ",NONE                     ,-                   ,,6P        ,8/25/2020,9/1/2020,9/1/2020,9/2/2020,,,9/30/2020,,,,,,10/5/2020,B3001     ,,FB8       ,J04       ,,,75,9/23/2020,BR        ,7052,1,N/A   ,YES   ,101,,17.64,1
