Piping Line List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,629,:Total Isos,,,,,,,,,,,,,,,,,,,,
Client Name:,AIR PRODUCTS,,,,,,,629,:Total Spools,,,,,,,,,,,,,,,,,,,,
Job No:,7116,,,,,,,0,:Hold,,,,,,,,,,,,,,,,,,,,
Fab. Location:,TX,,,,,,,0,:Issued,,,,,,,,,,,,,,,,,,,,
,,,0,PU,,,,629,:Isos not Issued for fab.,,,,,,,,,,,,,,,,,,,,
,,,0,UP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,RTI,,,,,,,,,,,,,,,,,Transmittal Summary,,,,,,,,
,,186,430,,,,,,,,,,,,,,,,,5-Oct-20,New,,,Revisions,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Priority,Phase,Material,Pipe Spec.,Paint System,Pipeline Reference,Sheet #,Size,Spool ID,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.
7,7-A,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,4,"4""",U010-H -1012-7-A,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
8,8-A,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,5,"4""",U010-H -1012-8-A,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
9,9-A,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,6,"4""",U010-H -1012-9-A,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
9,9-B,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,6,"4""",U010-H -1012-9-B,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
10,10-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-1015,1,"2""",U010-VG -1015-10-A,"2""-VG -1015-1CBB01",,,,,,231,,1,,,,,,
10,10-B,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-1015,1,"2""",U010-VG -1015-10-B,"2""-VG -1015-1CBB01",,,,,,231,,1,,,,,,
10,10-C,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-1015,1,"2""",U010-VG -1015-10-C,"2""-VG -1015-1CBB01",,,,,,231,,1,,,,,,
11,11-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2201,1,"8""",U010-H -2201-11-A,"8""-H -2201-1CBB01",,,,,,231,,1,,,,,,
12,12-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2201,3,"8""",U010-H -2201-12-A,"8""-H -2201-1CBB01",,,,,,231,,1,,,,,,
12,12-B,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2201,3,"8""",U010-H -2201-12-B,"8""-H -2201-1CBB01",,,,,,231,,1,,,,,,
13,13-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2205,1,"4""",U010-CW -2205-13-A,"4""-CW -2205-ZCSC01",,,,,,231,,1,,,,,,
14,14-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2205,2,"4""",U010-CW -2205-14-A,"4""-CW -2205-ZCSC01",,,,,,231,,1,,,,,,
14,14-B,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2205,2,"4""",U010-CW -2205-14-B,"4""-CW -2205-ZCSC01",,,,,,231,,1,,,,,,
15,15-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2206,1,"4""",U010---15-A,#N/A,,,,,,231,,1,,,,,,
16,16-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2206,2,"4""",U010---16-A,#N/A,,,,,,231,,1,,,,,,
16,16-B,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2206,2,"4""",U010---16-B,#N/A,,,,,,231,,1,,,,,,
16,16-C,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2206,2,"4""",U010---16-C,#N/A,,,,,,231,,1,,,,,,
17,17-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2210,1,"8""",U010-VG -2210-17-A,"8""-VG -2210-1CBB01",,,,,,231,,1,,,,,,
17,17-B,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2210,1,"8""",U010-VG -2210-17-B,"8""-VG -2210-1CBB01",,,,,,231,,1,,,,,,
18,18-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2210,3,"8""",U010-VG -2210-18-A,"8""-VG -2210-1CBB01",,,,,,231,,1,,,,,,
19,19-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2241,1,"4""",U010-CW -2241-19-A,"4""-CW -2241-ZCSC01",,,,,,231,,1,,,,,,
20,20-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2241,2,"4""",U010-CW -2241-20-A,"4""-CW -2241-ZCSC01",,,,,,231,,1,,,,,,
21,21-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2242,1,"4""",U010---21-A,#N/A,,,,,,231,,1,,,,,,
22,22-A,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2242,2,"4""",U010---22-A,#N/A,,,,,,231,,1,,,,,,
22,22-B,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2242,2,"4""",U010---22-B,#N/A,,,,,,231,,1,,,,,,
22,22-C,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2242,2,"4""",U010---22-C,#N/A,,,,,,231,,1,,,,,,
22,22-D,,X,,,,U010,,ZCSC01,C230U,DOC0001027228-2242,1,"4""",U010---22-D,#N/A,,,,,,231,,2,,,,,,
23,23-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2302,1,"4""",U010-VG -2302-23-A,"4""-VG -2302-1CBB01",,,,,,231,,1,,,,,,
23,23-B,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2302,1,"4""",U010-VG -2302-23-B,"4""-VG -2302-1CBB01",,,,,,231,,1,,,,,,
24,24-A,,X,,,,U010,,1CBB01,C093U3,DOC0001027228-2302,2,"4""",U010-VG -2302-24-A,"4""-VG -2302-1CBB01",,,,,,231,,1,,,,,,
