BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP,SCHEDULE,CLASS
120-C,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-120-C,,,,STD,
123-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-123-A,,,,STD,
123-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-123-A,,,,STD,
123-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-123-A,,,,STD,
124-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-124-A,,,,STD,
124-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-124-A,,,,STD,
62-B,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-62-B,,,,STD,
62-C,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-62-C,,,,STD,
62-C,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-62-C,,,,STD,
63-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-63-A,,,,STD,
63-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-63-A,,,,STD,
64-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-64-A,,,,STD,
64-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-64-A,,,,STD,
64-B,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-64-B,,,,STD,
64-B,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-64-B,,,,STD,
65-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-65-A,,,,STD,
65-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-65-A,,,,STD,
65-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-65-A,,,,STD,
65-B,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-65-B,,,,STD,
65-B,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-65-B,,,,STD,
87-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-87-A,,,,STD,
88-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-88-A,,,,STD,
88-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-88-A,,,,STD,
90,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-90-A,,,,STD,
90,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-90-C,,,,STD,
113-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-113-A,,,,STD,
113-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-113-A,,,,STD,
113-A,,BE9LABMBEACKABEZ_STD~12,12,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-113-A,,,,STD,
116-A,,BE9LABMBEACKABEZ_XS~14,14,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-XS 14""",1,EA,,FITTINGS,7116-116-A,,,,XS,
116-A,,BE9LABMBEACKABEZ_XS~14,14,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-XS 14""",1,EA,,FITTINGS,7116-116-A,,,,XS,
119-B,,BE9LABMBEACKABEZ_XS~14,14,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-XS 14""",1,EA,,FITTINGS,7116-119-B,,,,XS,
119-B,,BE9LABMBEACKABEZ_XS~14,14,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-XS 14""",1,EA,,FITTINGS,7116-119-B,,,,XS,
120-A,,BE9LABMBEACKABEZ_XS~14,14,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-XS 14""",1,EA,,FITTINGS,7116-120-A,,,,XS,
59-A,,BE9LABMBEACKABEZ_STD~16,16,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 16""",1,EA,,FITTINGS,7116-59-A,,,,STD,
59-A,,BE9LABMBEACKABEZ_STD~16,16,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 16""",1,EA,,FITTINGS,7116-59-A,,,,STD,
59-B,,BE9LABMBEACKABEZ_STD~16,16,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 16""",1,EA,,FITTINGS,7116-59-B,,,,STD,
60-A,,BE9LABMBEACKABEZ_STD~16,16,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 16""",1,EA,,FITTINGS,7116-60-A,,,,STD,
60-A,,BE9LABMBEACKABEZ_STD~16,16,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 16""",1,EA,,FITTINGS,7116-60-A,,,,STD,
79-A,,BE9LABMBEACKABEZ_STD~18,18,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 18""",1,EA,,FITTINGS,7116-79-A,,,,STD,
79-B,,BE9LABMBEACKABEZ_STD~18,18,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 18""",1,EA,,FITTINGS,7119-79-B,,,,STD,
