BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH,, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,l
PIPING/FIELD/J07/2143F,1,PPARCACDBGAAEZ~1,1,"- PIPE; ERW STR SM; ASME B36.10M; THRD END; 85% JE; SCH 80; CS ASTM A53 GR B GALV - L14GC4CA 1""",2.3,ft,1,PIPE,2143F,,-,CA4,1,XS,,
PIPING/FIELD/J07/2143F,2,CTPIPE~1,1,"- CORPORATE TEMPLATE PIPE STD WT - 1""",1.5,ft,1,PIPE,2143F,,-,CA4,1,STD,,
PIPING/FIELD/J07/2143F,3,CTPIPE~1,1,"- CORPORATE TEMPLATE PIPE STD WT - 1""",4.7,ft,1,PIPE,2143F,,-,CA4,1,STD,,
PIPING/FIELD/J07/2143F,4,PPARCACDBGAAEZ~1,1,"- PIPE; ERW STR SM; ASME B36.10M; THRD END; 85% JE; SCH 80; CS ASTM A53 GR B GALV - L14GC4CA 1""",22,ft,1,PIPE,2143F,,-,CA4,1,XS,,
PIPING/FIELD/J07/2143F,5,PTLAABABZZWLBZ~1,1,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 1""",1,ea,1,FITTINGS,2143F,,-,CA4,1,None,,
PIPING/FIELD/J07/2143F,6,PTLAABABZZWLBZ~1,1,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 1""",1,ea,1,FITTINGS,2143F,,-,CA4,1,None,,
PIPING/FIELD/J07/2143F,7,PTEAABABZZWLBZ~1,1,"- CPLG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L34F3AH 1""",1,ea,1,FITTINGS,2143F,,-,CA4,1,None,,
PIPING/FIELD/J07/2143F,8,VBBZZHCBZLZ001~1,1,"- BVQKAI BALL VALVE; 400 LB WOG; FNPT; BRONZE; LVR HDL OPR; REG PORT; FOR UTILITY SERVICE ONLY  - OE Status  0 CUST TAG: CA4:L25G50CV - L25G50CV 1""",1,ea,1,VALVES / IN-LINE ITEMS,2143F,,-,CA4,1,None,,
PIPING/FIELD/J07/2143F,9,VBBZZHCBZLZ001~1,1,"- BVQKAI BALL VALVE; 400 LB WOG; FNPT; BRONZE; LVR HDL OPR; REG PORT; FOR UTILITY SERVICE ONLY  - OE Status  0 CUST TAG: CA4:L25G50CV - L25G50CV 1""",1,ea,1,VALVES / IN-LINE ITEMS,2143F,,-,CA4,1,None,,
PIPING/FIELD/J07/219FA,1,PTLAABABZZWLBZ~2,2,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 2""",1,ea,1,FITTINGS,219FA,,-,CA4,1,None,,
PIPING/FIELD/J07/219FB,1,PTLAABABZZWLBZ~2,2,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 2""",1,ea,1,FITTINGS,219FB,,-,CA4,1,None,,
PIPING/FIELD/J07/219FC,1,PPARCACDBGAAEZ~2,2,"- PIPE; ERW STR SM; ASME B36.10M; THRD END; 85% JE; SCH 80; CS ASTM A53 GR B GALV - L14GC4CA 2""",8.2,ft,1,PIPE,219FC,,-,CA4,1,XS,,
PIPING/FIELD/J07/219FC,2,PTLAABABZZWLBZ~2,2,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 2""",1,ea,1,FITTINGS,219FC,,-,CA4,1,None,,
PIPING/FIELD/J07/219FD,1,PTTBABABZZWLBZ~2X1,2X1,"- TEE RED; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L31F3AD 2X1""",1,ea,1,FITTINGS,219FD,,-,CA4,1,None,,
PIPING/FIELD/J07/219FE,1,PTLAABABZZWLBZ~2,2,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 2""",1,ea,1,FITTINGS,219FE,,-,CA4,1,None,,
PIPING/FIELD/J07/219FF,1,PTLAABABZZWLBZ~2,2,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 2""",1,ea,1,FITTINGS,219FF,,-,CA4,1,None,,
