spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_d_np,w_stc,w_d_p
3141-B,MK-02022X-7843-007B,SS,4/3/2017,,19,22X,3141,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,8/11/2017,8/24/2017,,,,10/5/2017,185,130,13,42,,
3142-A,MK-02022X-7913-001A,SS,3/30/2017,,19,22X,3142,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/11/2017,,,,5/16/2017,47,9,3,35,,
3142-C,MK-02022X-7913-001C,SS,3/31/2017,,19,22X,3142,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/25/2017,5/13/2017,,,,7/21/2017,112,25,18,69,,
3143-A,MK-02022X-7983-001A,CS,2/15/2017,,19,22X,3143,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/24/2017,5/25/2017,,,,6/21/2017,126,98,1,27,,
3143-B,MK-02022X-7983-001B,CS,2/13/2017,,19,22X,3143,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/17/2017,,,2/21/2017,3/24/2017,39,1,3,,4,35
3144-A,MK-02022X-7984-001A,CS,2/15/2017,,19,22X,3144,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/24/2017,5/25/2017,,,,6/21/2017,126,98,1,27,,
3144-B,MK-02022X-7984-001B,CS,2/13/2017,,19,22X,3144,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/17/2017,,,2/21/2017,3/24/2017,39,1,3,,4,35
3145-A,MK-02022X-7987-001A,CS,2/13/2017,,19,22X,3145,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/16/2017,,,2/21/2017,3/24/2017,39,1,2,,5,36
3145-B,MK-02022X-7987-001B,CS,2/15/2017,,19,22X,3145,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/24/2017,5/25/2017,,,,6/21/2017,126,98,1,27,,
3146-A,MK-02022X-7988-001A,CS,2/13/2017,,19,22X,3146,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/21/2017,,,2/21/2017,3/24/2017,39,1,7,,0,31
3146-B,MK-02022X-7988-001B,CS,2/15/2017,,19,22X,3146,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/24/2017,5/25/2017,,,,6/21/2017,126,98,1,27,,
3147-A,MK-02022X-7989-001A,CS,2/13/2017,,19,22X,3147,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/16/2017,,,2/21/2017,3/24/2017,39,1,2,,5,36
3147-B,MK-02022X-7989-001B,CS,2/13/2017,,19,22X,3147,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/24/2017,5/25/2017,,,,6/21/2017,128,100,1,27,,
3148-A,MK-02022X-7990-001A,CS,2/13/2017,,19,22X,3148,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/17/2017,,,2/21/2017,3/24/2017,39,1,3,,4,35
3148-B,MK-02022X-7990-001B,CS,2/13/2017,,19,22X,3148,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/24/2017,5/25/2017,,,,6/21/2017,128,100,1,27,,
3149-A,MK-02023X-6241-001A,SS,4/3/2017,,18,23X,3149,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/15/2017,6/19/2017,,,,7/31/2017,119,73,4,42,,
3150-A,MK-02023X-7010-001A,CS,4/3/2017,,18,23X,3150,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/15/2017,4/21/2017,,,,6/21/2017,79,12,6,61,,
3151-A,MK-02023X-7010-002A,CS,3/3/2017,,18,23X,3151,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/8/2017,3/12/2017,,,4/11/2017,4/21/2017,49,5,4,,30,40
3152-A,MK-02023X-7010-003A,CS,3/22/2017,,18,23X,3152,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/5/2017,5/12/2017,,,,6/2/2017,72,44,7,21,,
3152-B,MK-02023X-7010-003B,CS,3/22/2017,,18,23X,3152,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/25/2017,6/11/2017,,,,7/18/2017,118,64,17,37,,
3152-C,MK-02023X-7010-003C,CS,3/15/2017,,18,23X,3152,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/25/2017,3/27/2017,,,3/30/2017,4/28/2017,44,10,2,,3,32
3153-A,MK-02023X-7052-001A,SS,3/29/2017,,18,23X,3153,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,5/14/2017,,,,8/7/2017,131,10,36,85,,
3153-B,MK-02023X-7052-001B,SS,3/24/2017,,18,23X,3153,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/9/2017,5/2/2017,,,,7/25/2017,123,16,23,84,,
3154-A,MK-02023X-7052-D01A,SS,3/30/2017,,18,23X,3154,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/23/2017,,,,5/30/2017,61,9,15,37,,
3154-B,MK-02023X-7052-D01B,SS,3/30/2017,,18,23X,3154,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/18/2017,4/23/2017,,,,6/16/2017,78,19,5,54,,
3155-A,MK-02023X-7052-D02A,SS,3/30/2017,,18,23X,3155,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,5/6/2017,,,,6/5/2017,67,9,28,30,,
3156-A,MK-02023X-7083-001A,SS,3/30/2017,,18,23X,3156,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/27/2017,,,,7/25/2017,117,9,19,89,,
3157-A,MK-02023X-7286-002A,SS,3/15/2017,,18,23X,3157,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/31/2017,4/17/2017,,,,5/30/2017,76,16,17,43,,
3158-A,MK-02023X-7286-003A,SS,3/10/2017,,18,23X,3158,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/15/2017,3/17/2017,,,,4/25/2017,46,5,2,39,,
3158-B,MK-02023X-7286-003B,SS,3/20/2017,,18,23X,3158,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/5/2017,6/9/2017,,,,7/24/2017,126,77,4,45,,
3159-A,MK-02023X-7360-D02A,CS,2/13/2017,,18,23X,3159,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/21/2017,,,3/9/2017,4/5/2017,51,1,7,,16,43
3160-A,MK-02023X-7360-D03A,CS,2/13/2017,,18,23X,3160,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/15/2017,,,2/21/2017,3/24/2017,39,1,1,,6,37
3160-B,MK-02023X-7360-D03B,CS,2/13/2017,,18,23X,3160,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/15/2017,,,2/21/2017,3/24/2017,39,1,1,,6,37
3161-A,MK-02023X-7362-001A,SS,4/3/2017,,18,23X,3161,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,9/28/2017,9/30/2017,,,,10/18/2017,198,178,2,18,,
3161-B,MK-02023X-7362-001B,SS,4/3/2017,,18,23X,3161,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,8/30/2017,9/3/2017,,,,10/16/2017,196,149,4,43,,
3162-A,MK-02023X-7362-002A,SS,4/3/2017,,18,23X,3162,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,8/30/2017,9/3/2017,,,,10/16/2017,196,149,4,43,,
3162-B,MK-02023X-7362-002B,SS,4/3/2017,,18,23X,3162,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,9/28/2017,9/30/2017,,,,10/18/2017,198,178,2,18,,
3163-A,MK-02023X-7367-001A,SS,3/10/2017,,18,23X,3163,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/15/2017,3/17/2017,,,,4/25/2017,46,5,2,39,,
3163-B,MK-02023X-7367-001B,SS,3/20/2017,,18,23X,3163,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/31/2017,4/28/2017,,,,6/5/2017,77,11,28,38,,
3163-C,MK-02023X-7367-001C,SS,3/20/2017,,18,23X,3163,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/6/2017,5/8/2017,,,,6/19/2017,91,47,2,42,,
3164-A,MK-02023X-7367-002A,SS,4/3/2017,,18,23X,3164,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,8/27/2017,8/31/2017,,,,9/23/2017,173,146,4,23,,
3164-B,MK-02023X-7367-002B,SS,4/3/2017,,18,23X,3164,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/5/2017,6/9/2017,,,,7/24/2017,112,63,4,45,,
3165-A,MK-02023X-7434-001A,SS,4/3/2017,,18,23X,3165,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,7/15/2017,7/25/2017,,,,8/25/2017,144,103,10,31,,
3166-A,MK-02023X-7434-002A,SS,3/30/2017,,18,23X,3166,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/16/2017,10/19/2017,,,10/31/2017,11/8/2017,223,200,3,,12,20
3166-B,MK-02023X-7434-002B,SS,3/30/2017,,18,23X,3166,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/18/2017,,,,5/18/2017,49,9,10,30,,
3167-A,MK-02023X-7434-003A,SS,3/30/2017,,18,23X,3167,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/19/2017,6/24/2017,,,,8/2/2017,125,81,5,39,,
3167-B,MK-02023X-7434-003B,SS,3/30/2017,,18,23X,3167,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2017,4/20/2017,,,,5/22/2017,53,15,6,32,,
3168-A,MK-02023X-7704-001A,SS,3/30/2017,,18,23X,3168,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/7/2017,4/27/2017,,,,5/30/2017,61,8,20,33,,
3168-B,MK-02023X-7704-001B,SS,3/31/2017,,18,23X,3168,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/12/2017,5/19/2017,,,,7/19/2017,110,42,7,61,,
3169-A,MK-02023X-7784-003A,SS,3/15/2017,,18,23X,3169,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/31/2017,4/7/2017,,,,5/23/2017,69,16,7,46,,
3169-B,MK-02023X-7784-003B,SS,3/15/2017,,18,23X,3169,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/31/2017,4/28/2017,,,,7/25/2017,132,16,28,88,,
3169-C,MK-02023X-7784-003C,SS,3/22/2017,,18,23X,3169,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/21/2017,4/26/2017,,,,6/8/2017,78,30,5,43,,
3170-A,MK-02023X-7980-001A,SS,4/3/2017,,18,23X,3170,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,9/28/2017,10/1/2017,,,,11/7/2017,218,178,3,37,,
3170-B,MK-02023X-7980-001B,SS,4/3/2017,,18,23X,3170,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/6/2017,5/14/2017,,,,7/21/2017,109,33,8,68,,
3171-A,MK-02023X-7985-001A,CS,4/4/2017,,18,23X,3171,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/8/2017,5/11/2017,,,,6/2/2017,59,34,3,22,,
3172-A,MK-02023X-7986-001A,CS,4/4/2017,,18,23X,3172,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/8/2017,5/12/2017,,,,6/23/2017,80,34,4,42,,
3173-A,MK-02023X-8829-001A,CS,3/3/2017,,18,23X,3173,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/15/2017,5/22/2017,,,,7/5/2017,124,43,37,44,,
3174-A,MK-02023X-8829-002A,CS,3/24/2017,,18,23X,3174,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/1/2017,4/4/2017,,,4/8/2017,5/8/2017,45,8,3,,4,34
3174-B,MK-02023X-8829-002B,CS,3/31/2017,,18,23X,3174,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/5/2017,5/11/2017,,,,6/2/2017,63,35,6,22,,
3174-C,MK-02023X-8829-002C,CS,3/31/2017,,18,23X,3174,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/18/2017,4/24/2017,,,,5/11/2017,41,18,6,17,,
3174-D,MK-02023X-8829-002D,CS,3/24/2017,,18,23X,3174,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/1/2017,4/3/2017,,,4/6/2017,5/8/2017,45,8,2,,3,35
3175-A,MK-02023X-8830-001A,CS,3/24/2017,,18,23X,3175,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/1/2017,4/4/2017,,,4/25/2017,5/22/2017,59,8,3,,21,48
3175-B,MK-02023X-8830-001B,CS,3/24/2017,,18,23X,3175,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/1/2017,4/9/2017,,,4/10/2017,6/21/2017,89,8,8,,1,73
3176-A,MK-02023X-8830-002A,CS,4/11/2017,,18,23X,3176,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/26/2017,5/6/2017,,,,6/7/2017,57,15,10,32,,
3176-B,MK-02023X-8830-002B,CS,4/11/2017,,18,23X,3176,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/26/2017,4/29/2017,,,,6/7/2017,57,15,3,39,,
3176-C,MK-02023X-8830-002C,CS,4/11/2017,,18,23X,3176,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/5/2017,5/11/2017,,,,6/2/2017,52,24,6,22,,
3177-A,MK-02026X-2093-001A,CS,3/22/2017,,25,26X,3177,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/29/2017,4/4/2017,,,4/25/2017,5/22/2017,61,7,6,,21,48
3178-A,MK-02026X-2151-001A,SS,4/28/2017,,25,26X,3178,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/16/2017,5/17/2017,,,,6/28/2017,61,18,1,42,,
3178-B,MK-02026X-2151-001B,SS,4/28/2017,,25,26X,3178,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/12/2017,5/20/2017,,,,7/19/2017,82,14,8,60,,
3178-C,MK-02026X-2151-001C,SS,3/22/2017,,25,26X,3178,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2017,4/21/2017,,,,5/18/2017,57,23,7,27,,
3179-A,MK-02026X-2151-002A,SS,4/28/2017,,25,26X,3179,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/10/2017,5/21/2017,,,,6/27/2017,60,12,11,37,,
3179-B,MK-02026X-2151-002B,SS,4/28/2017,,25,26X,3179,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/12/2017,5/18/2017,,,,6/23/2017,56,14,6,36,,
3179-C,MK-02026X-2151-002C,SS,3/30/2017,,25,26X,3179,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/7/2017,4/23/2017,,,,6/1/2017,63,8,16,39,,
3179-D,MK-02026X-2151-002D,SS,3/22/2017,,25,26X,3179,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2017,4/19/2017,,,,5/18/2017,57,23,5,29,,
3180-A,MK-02026X-5157-001A,SS,3/29/2017,,25,26X,3180,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/19/2017,,,,5/22/2017,54,10,11,33,,
3180-B,MK-02026X-5157-001B,SS,5/1/2017,,25,26X,3180,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,7/21/2017,7/27/2017,,,,8/25/2017,116,81,6,29,,
3181-A,MK-02026X-5448-001A,CS,3/24/2017,,25,26X,3181,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/1/2017,4/8/2017,,,4/10/2017,6/21/2017,89,8,7,,2,74
3182-A,MK-02026X-5449-002A,SS,3/24/2017,,25,26X,3182,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/3/2017,4/13/2017,,,,6/9/2017,77,10,10,57,,
3183-A,MK-02026X-5451-001A,SS,3/15/2017,,25,26X,3183,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/29/2017,4/13/2017,,,,6/9/2017,86,14,15,57,,
3184-A,MK-02026X-5452-001A,SS,3/15/2017,,25,26X,3184,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/29/2017,4/11/2017,,,,5/31/2017,77,14,13,50,,
3185-A,MK-02026X-5670-002A,SS,3/15/2017,,25,26X,3185,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/29/2017,4/13/2017,,,4/19/2017,6/28/2017,105,14,15,,6,76
3186-A,MK-02026X-5671-001A,CS,3/15/2017,,25,26X,3186,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/25/2017,4/2/2017,,,4/3/2017,4/26/2017,42,10,8,,1,24
3187-A,MK-02027X-2007-001A,SS,2/23/2017,,6,27X,3187,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/6/2017,6/16/2017,,,,8/2/2017,160,103,10,47,,
3187-B,MK-02027X-2007-001B,SS,2/23/2017,,6,27X,3187,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/6/2017,6/16/2017,,,,8/2/2017,160,103,10,47,,
3188-A,MK-02027X-2007-002A,SS,2/23/2017,,6,27X,3188,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/30/2017,6/6/2017,,,,7/12/2017,139,96,7,36,,
3188-B,MK-02027X-2007-002B,SS,2/23/2017,,6,27X,3188,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/30/2017,6/5/2017,,,,6/30/2017,127,96,6,25,,
3189-A,MK-02027X-2022-001A,SS,2/23/2017,,6,27X,3189,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/28/2017,6/3/2017,,,,6/28/2017,125,94,6,25,,
3189-B,MK-02027X-2022-001B,SS,2/23/2017,,6,27X,3189,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/28/2017,6/2/2017,,,,6/28/2017,125,94,5,26,,
3190-A,MK-02027X-2022-002A,SS,2/23/2017,,6,27X,3190,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/30/2017,5/20/2017,,,,6/28/2017,125,66,20,39,,
3190-B,MK-02027X-2022-002B,SS,2/23/2017,,6,27X,3190,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/9/2017,6/12/2017,,,,7/12/2017,139,106,3,30,,
3190-C,MK-02027X-2022-002C,SS,2/23/2017,,6,27X,3190,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/3/2017,4/12/2017,,,4/19/2017,6/28/2017,125,39,9,,7,77
3191-A,MK-02027X-2048-001A,CS,5/17/2017,,6,27X,3191,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/9/2017,6/10/2017,,,,7/25/2017,69,23,1,45,,
3191-B,MK-02027X-2048-001B,CS,5/17/2017,,6,27X,3191,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/25/2017,6/5/2017,,,,6/23/2017,37,8,11,18,,
3192-A,MK-02027X-2050-001A,CS,2/23/2017,,6,27X,3192,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/12/2017,,,3/19/2017,4/6/2017,42,16,1,,7,25
3192-B,MK-02027X-2050-001B,CS,2/23/2017,,6,27X,3192,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/17/2017,,,4/24/2017,5/11/2017,77,44,9,,7,24
3192-C,MK-02027X-2050-001C,CS,2/23/2017,,6,27X,3192,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/8/2017,4/14/2017,,,4/14/2017,5/4/2017,70,44,6,,0,20
3192-D,MK-02027X-2050-001D,CS,2/23/2017,,6,27X,3192,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/25/2017,3/28/2017,,,4/3/2017,4/26/2017,62,30,3,,6,29
3192-E,MK-02027X-2050-001E,CS,2/23/2017,,6,27X,3192,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/15/2017,,,3/19/2017,4/6/2017,42,16,4,,4,22
3193-A,MK-02027X-2051-002A,CS,2/23/2017,,6,27X,3193,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/16/2017,,,3/19/2017,4/6/2017,42,16,5,,3,21
3194-A,MK-02027X-2052-001A,CS,2/23/2017,,6,27X,3194,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/16/2017,,,3/19/2017,4/6/2017,42,16,5,,3,21
3194-B,MK-02027X-2052-001B,CS,2/23/2017,,6,27X,3194,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/5/2017,5/13/2017,,,,6/21/2017,118,71,8,39,,
3194-C,MK-02027X-2052-001C,CS,2/23/2017,,6,27X,3194,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/5/2017,5/13/2017,,,,6/21/2017,118,71,8,39,,
3195-A,MK-02027X-2053-001A,CS,2/23/2017,,6,27X,3195,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/17/2017,5/17/2017,,,,6/30/2017,127,83,0,44,,
3195-B,MK-02027X-2053-001B,CS,2/23/2017,,6,27X,3195,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/26/2017,7/8/2017,,,,8/7/2017,165,123,12,30,,
3195-C,MK-02027X-2053-001C,CS,2/23/2017,,6,27X,3195,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/14/2017,,,3/19/2017,4/6/2017,42,16,3,,5,23
3196-A,MK-02027X-2053-002A,CS,2/23/2017,,6,27X,3196,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/21/2017,,,3/25/2017,4/26/2017,62,16,10,,4,36
3196-B,MK-02027X-2053-002B,CS,2/23/2017,,6,27X,3196,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/9/2017,5/18/2017,,,,6/20/2017,117,75,9,33,,
3197-A,MK-02027X-2053-003A,CS,2/24/2017,,6,27X,3197,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/9/2017,5/19/2017,,,,6/23/2017,119,74,10,35,,
3197-B,MK-02027X-2053-003B,CS,2/24/2017,,6,27X,3197,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,5/9/2017,5/16/2017,,,,7/5/2017,131,74,7,50,,
3198-A,MK-02027X-2077-001A,SS,2/24/2017,,6,27X,3198,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/3/2017,4/11/2017,,,,5/22/2017,87,38,8,41,,
3198-B,MK-02027X-2077-001B,SS,2/24/2017,,6,27X,3198,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/19/2017,,,,5/16/2017,81,15,8,58,,
3199-A,MK-02027X-2077-002A,SS,2/24/2017,,6,27X,3199,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,7/26/2017,7/30/2017,,,,9/22/2017,210,152,4,54,,
3199-B,MK-02027X-2077-002B,SS,2/24/2017,,6,27X,3199,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/23/2017,4/28/2017,,,,5/30/2017,95,58,5,32,,
3200-A,MK-02027X-2078-001A,CS,2/15/2017,,6,27X,3200,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/25/2017,4/30/2017,,,,6/7/2017,112,69,5,38,,
3200-B,MK-02027X-2078-001B,CS,2/15/2017,,6,27X,3200,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/25/2017,5/1/2017,,,,6/21/2017,126,69,6,51,,
3200-C,MK-02027X-2078-001C,CS,2/13/2017,,6,27X,3200,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2017,2/18/2017,,,3/9/2017,4/5/2017,51,1,4,,19,46
3201-A,MK-02027X-2504-001A,SS,2/23/2017,,6,27X,3201,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/27/2017,4/6/2017,,,,5/16/2017,82,32,10,40,,
3201-B,MK-02027X-2504-001B,SS,2/23/2017,,6,27X,3201,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/10/2017,3/15/2017,,,,4/19/2017,55,15,5,35,,
