,15069,,,,,,15069,15069,15069,15069,50,,4350,,15066,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,ISO NO.,PIECE MARK,REFERENCE DWG.,LINE NO.,PAINT SYS.,TOP COAT COLOR,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,READY TO SHIP COATING,SHIP TO COATING,READY TO SHIP,TO SITE,LOAD #,COMMENTS,LINE CLASS,AREA,ON HOLD,REL HOLD DATE,HYDRO,PWHT,PMI,ISSUE DATE,PRIORITY DATE,PRIORITY,PCI REV,BACK AT SHOP,FINAL CHECK,ORIGINAL PAINT LOAD,RT %,DESCRIPTION,PIPE FT,SO #,FAB CODE,RELEASE DATE,CLIENT REV,Pcmkiitemw,ID STATUS
BR        ,131-B,MK-02001X-7224-004B,020-01X-7224-04,"4""-EG-020-7224-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/13/2017,2/13/2017,2/13/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/16/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,244-B,MK-02001X-7511-001B,020-01X-7511-01,"4""-EG-020-7511-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/11/2017,2/11/2017,2/11/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/21/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,244-C,MK-02001X-7511-001C,020-01X-7511-01,"4""-EG-020-7511-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/9/2017,2/9/2017,2/9/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/21/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,244-D,MK-02001X-7511-001D,020-01X-7511-01,"4""-EG-020-7511-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/9/2017,2/9/2017,2/9/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/21/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,244-E,MK-02001X-7511-001E,020-01X-7511-01,"4""-EG-020-7511-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/8/2017,2/8/2017,2/8/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/21/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,448-A,MK-02001X-8714-0B01A,020-01X-8714-B01,"3""-AI-020-8714-A021-30-N                     ",NONE                     ,N/A                 ,4/7/2017,4/10/2017,4/10/2017,4/10/2017,,,,,4/12/2017,B3001,,14,01X       ,,,N/A   ,N/A   ,YES   ,12/1/2016,,-         ,0,,4/10/2017,,5,,2.63,6112,A021-30        ,,1,,FIELD     
BR        ,795-A,MK-02005X-7120-001A,020-05X-7120-01,"2""-EG-020-7120-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/3/2017,4/3/2017,4/6/2017,,,,,4/12/2017,B3001,,4,05X       ,,,N/A   ,N/A   ,YES   ,12/16/2016,,-         ,1,,4/6/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,795-B,MK-02005X-7120-001B,020-05X-7120-01,"2""-EG-020-7120-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/3/2017,4/3/2017,4/7/2017,,,,,4/12/2017,B3001,,4,05X       ,,,N/A   ,N/A   ,YES   ,12/16/2016,,-         ,1,,4/7/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,1312-A,MK-02005X-7162-001A,020-05X-7162-01,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/6/2017,4/6/2017,4/6/2017,,,,,4/12/2017,B3001,,4,05X       ,,,N/A   ,N/A   ,YES   ,1/9/2017,,-         ,1,,4/6/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,1313-A,MK-02005X-7162-002A,020-05X-7162-02,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/2/2017,4/2/2017,4/6/2017,,,,,4/12/2017,B3001,,4,05X       ,,,N/A   ,N/A   ,YES   ,1/10/2017,,-         ,1,,4/6/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,1313-B,MK-02005X-7162-002B,020-05X-7162-02,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/3/2017,4/3/2017,4/7/2017,,,,,4/12/2017,B3001,,4,05X       ,,,N/A   ,N/A   ,YES   ,1/10/2017,,-         ,1,,4/7/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,2029-C,MK-02016X-1287-001C,020-16X-1287-01,"3""-HL-020-1287-B135-40-N                     ",NONE                     ,N/A                 ,3/1/2017,3/3/2017,3/3/2017,3/3/2017,,,,,4/12/2017,B3001,,4,16X       ,,,N/A   ,N/A   ,YES   ,2/9/2016,,-         ,0,,3/3/2017,,20,,7.4,6112,B135-40        ,,1,,FIELD     
