Client Tag,Shipped,Order Date,Delivery Date,
T11A-6#18-4-0-0-0-CS_31-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_32-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_32-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_32-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_33-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_33-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_33-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_34-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_34-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_35-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_35-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_35-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_36-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_36-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_36-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-3.5-0-0-0-CS-M_36-4~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_37-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_37-4~6,Shipped,03/31/20,02/03/20,
T13A-6#18-4.5-0-0-0-CS-M_37-2~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_38-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_38-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_38-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_38-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_39-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_39-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_39-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_39-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_40-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_40-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_156-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_156-3~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_156-4~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_156-5~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_156-6~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_157-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_157-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_157-3~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_158-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_158-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_158-3~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_158-4~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_159-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_159-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_160-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_160-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_160-3~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_161-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_161-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_162-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_162-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_163-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_163-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_163-3~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_164-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_165-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_166-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_166-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_167-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_168-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_168-2~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS-365-2~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-366-1~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-366-2~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-366-3~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-367-1~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-367-2~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-368-1~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-368-2~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS-369-1~6,Shipped,03/31/20,03/13/20,
T33S-6#33.31-4-9-0-5-CS-369-1~6,Shipped,03/31/20,03/13/20,
T11A-6#18-4-0-0-0-CS_169-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_170-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_171-1~6,Shipped,03/31/20,01/03/20,
T11A-6#18-4-0-0-0-CS_173-2~6,Shipped,03/31/20,01/03/20,
T2S-6#0-18-24-0-2-CS_175-1~6,Shipped,03/31/20,01/09/20,
T2S-3#0-19-25-0-1-CS-475-2~3,Shipped,03/31/20,03/13/20,
T2S-3#0-19-25-0-1-CS-475-3~3,Shipped,03/31/20,03/13/20,
T11A-8#12-4-0-0-0-CS-M_303-1~8,Shipped,03/31/20,02/18/20,
T2S-16#0-17-23-0-5-CS_42-1~16,Shipped,03/31/20,12/17/19,
T12-16#18-4-0-0-0-CS_270-1~16,Shipped,03/31/20,02/03/20,
T30-1#28.06-0-10-0-0-CS_178-1~1,Shipped,03/31/20,01/09/20,
T11-1#18-4-0-0-0-CS_178-1~1,Shipped,03/31/20,01/09/20,
T12-16#18-4-0-0-0-CS_179-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_179-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_179-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS-479-1~16,Shipped,03/31/20,03/17/20,
T12-16#18-4-0-0-0-CS-479-2~16,Shipped,03/31/20,03/17/20,
T12-16#18-4-0-0-0-CS-480-2~16,Shipped,03/31/20,03/17/20,
T12-16#18-4-0-0-0-CS-480-4~16,Shipped,03/31/20,03/17/20,
T12-16#22-4-0-0-0-CS-M -480-4~16,Shipped,03/31/20,03/17/20,
T12-16#18-4-0-0-0-CS-481-2~16,Shipped,03/31/20,03/17/20,
T12-16#18-4-0-0-0-CS-481-3~16,Shipped,03/31/20,03/17/20,
T12-16#20-4-0-0-0-CS-M -481-2~16,Shipped,03/31/20,03/17/20,
T12-16#18-4-0-0-0-CS_180-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_180-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_181-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_181-3~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_181-3~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_182-2~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_182-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_182-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_183-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_183-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_184-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_184-4~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_185-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_185-2~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_185-3~16,Shipped,03/31/20,01/03/20,
T12-16#30-4-0-0-0-CS-M_185-4~16,Shipped,03/31/20,01/03/20,
T12-16#30-4-0-0-0-CS-M_186-1~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_186-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_186-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_187-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_187-4~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_188-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_188-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_188-3~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_189-2~16,Shipped,03/31/20,01/03/20,
T12-16#20-4-0-0-0-CS-M_190-1~16,Shipped,03/31/20,01/03/20,
T12-16#20-4-0-0-0-CS-M_190-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_190-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_190-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_191-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_191-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_192-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_192-3~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_192-5~16,Shipped,03/31/20,01/03/20,
T12-16#20-4-0-0-0-CS-M_192-1~16,Shipped,03/31/20,01/03/20,
T12-16#20-4-0-0-0-CS-M_192-4~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_193-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_193-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_194-1~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_194-3~16,Shipped,03/31/20,01/03/20,
T12-16#24-4-0-0-0-CS-M_194-2~16,Shipped,03/31/20,01/03/20,
T12-16#18-4-0-0-0-CS_272-2~16,Shipped,03/31/20,02/03/20,
T11A-8#18-4-0-0-0-CS-517-1~8,Shipped,03/31/20,04/02/20,
T51-8#0-0-0-0-1-CS-517-1~8,Shipped,03/31/20,04/02/20,
T51-8#0-0-0-0-1-CS-517-2~8,Shipped,03/31/20,04/02/20,
T12-16#24-4-0-0-0-CS-M_43-3~16,Shipped,03/31/20,12/17/19,
T12-16#30-4-0-0-0-CS-M_43-4~16,Shipped,03/31/20,12/17/19,
T12-16#18-4-0-0-0-CS_43-1~16,Shipped,03/31/20,02/03/20,
