ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Individual Priority,Priority Group,Priority Date,Area,Material,Pipe Spec.,Painting Spec.,Top Coat,Pipeline Reference,Spool ID,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Release Date,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Flg,Not Issued,Weld Out,Remaining To WO,Remaining MH,STS,T6951,Man Hours,WORKABLE 6/25/20,WORKABLE 6/23/20,WORKABLE 6/16/20,WORKABLE 6/9/20,WORKABLE 6/8/20,WORKABLE 6/2/20,WORKABLE 5/27/20,WORKABLE 5/26/20,WORKABLE 5/19/20,WORKABLE 5/18/20,WORKABLE 5/13/20,WORKABLE 5/11/20,WORKABLE 4/30/20,WORKABLE 4/28/20,WORKABLE 4/22/20,WORKABLE 4/20/20,WORKABLE 4/17/20,WORKABLE 4/13/20,WORKABLE 4/6/20,Spools Missing Valves 3-30-20,WORKABLE 3/30/20,WORKABLE 3/26/20,WORKABLE 3/24/20,WORKABLE 3/23/20,WORKABLE 3/20/20,WORKABLE 3/18/20,WORKABLE 3/16/20,WORKABLE 3/9/20,WORKABLE 3/01/20,WORKABLE 2/24/20,WORKABLE 2/10/20,Line No.,Size,
10,10-A,,UP,,,13,2,8/17/2020,13G,CS,G3A-3,4a,ALUMINUM,13G-P-6116701-01,6951-10-A,"12""-P-6116701-G3A-3-IH-R4",,,,,,,2,12/5/2019,0,,,,,,,,1,,1,23.776,#N/A,23.776,11.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,SB,#NAME?
10,10-B,,UP,,,13,2,8/17/2020,13G,CS,G3A-3,4a,ALUMINUM,13G-P-6116701-01,6951-10-B,"12""-P-6116701-G3A-3-IH-R4",,,,,,,2,12/5/2019,0,,,,,,,,1,,1,14.96,#N/A,14.96,11.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,SB,#NAME?
11,11-A,,UP,,,13,2,8/17/2020,13G,P5,G3H-1-TP1,4a,ALUMINUM,13G-P-6116802-01,6951-11-A,"30""-P-6116802-G3H-1-TP1-IH-R4",,HOLD,,RFI-65,,See RFI-65 Rev. 1 response for support material,2,12/5/2019,0,,,,,,,,1,,1,69.28,#N/A,69.28,26.24,11-A,11-A,11-A,11-A,11-A,#N/A,#N/A,#N/A,11-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,LB,#NAME?
12,12-A,,UP,,,13,2,8/17/2020,13G,P5,G3H-1-TP1,4a,ALUMINUM,13G-P-6116905-01,6951-12-A,"30""-P-6116905-G3H-1-TP1-IH-R4",,HOLD,,RFI-65,,See RFI-65 Rev. 1 response for support material,2,12/5/2019,0,,,,,,,,1,,1,69.28,#N/A,69.28,26.24,12-A,12-A,12-A,12-A,12-A,#N/A,#N/A,#N/A,12-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,LB,#NAME?
13,13,ISS,ISS,PA,3/17/2020,13,2,8/17/2020,13G,CS,G1A-3,4,BEIGE 88023,13G-P-6121708-01,6951-13-A,"2""-P-6121708-G1A-3-PP-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,3/20/2020,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,13,#N/A,#N/A,#N/A,2,SB,#NAME?
13,13,ISS,ISS,PA,3/17/2020,13,2,8/17/2020,13G,CS,G1A-3,4,BEIGE 88023,13G-P-6121708-01,6951-13-B,"2""-P-6121708-G1A-3-PP-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,3/20/2020,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,13,#N/A,#N/A,#N/A,2,SB,#NAME?
14,14-A,ISS,ISS,PA,5/19/2020,3,1,6/15/2020,20B,CS,G1A-3,4a,ALUMINUM,20B-P-6313005-01,6951-14-A,"20""-P-6313005-G1A-3-IH-R4",,,,,,,6,12/5/2019,0,,,,,,,,,,1,7.776,#N/A,7.776,7.776,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,SB,#NAME?
15,15-A,ISS,ISS,PA,5/19/2020,3,1,6/15/2020,20B,CS,G1A-3,4a,ALUMINUM,20B-P-6313301-01,6951-15-A,"20""-P-6313301-G1A-3-IH-R4",,,,,,,6,12/5/2019,0,,,,,,,,,,1,62.208,#N/A,62.208,62.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,SB,#NAME?
16,16-A,ISS,ISS,PA,6/24/2020,3,1,6/15/2020,20B,CS,G3A-3,4a,ALUMINUM,20B-P-6313302-02,6951-16-A,"20""-P-6313302-G3A-3-IH-R4",,,,,,,6,12/5/2019,0,154,3/24/2020,1,,,,,1,,1,44.04,#N/A,44.04,#N/A,#N/A,16-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,SB,#NAME?
16,16-B,ISS,ISS,PA,NOT ISSUED ,3,1,6/15/2020,20B,CS,G3A-3,4a,ALUMINUM,20B-P-6313302-02,6951-16-B,"20""-P-6313302-G3A-3-IH-R4",,,,,,,6,12/5/2019,0,154,3/24/2020,1,,,,,,,1,23.744,#N/A,23.744,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16-B,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16-B,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,SB,#NAME?
