,1462,,,,,,1419,1326,1316,1310,24,0,1182,0,485,992,134,244,280,,,,
SHOP,ISO NO.,PIECE MARK,PA,REF. DWG.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,FAB CODE,PHASE
PA        ,57-A,6951-57-A,#N/A,13A-CWS-6118191-02,1                        ,BEIGE 88023         ,03/23/2020,03/26/2020,03/26/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13A       
BR        ,58-A,6951-58-A,#N/A,13A-DW-6197008-01,NONE                     ,-                   ,05/20/2020,06/01/2020,06/01/2020,06/01/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,13A       
BR        ,59-A,6951-59-A,#N/A,13A-DW-6197008-02,NONE                     ,-                   ,05/14/2020,05/19/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,13A       
PA        ,65-A,6951-65-A,6951-65-A,13A-OW-6118197-02,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1A-15    ,B31.3          ,13A       
PA        ,67-B,6951-67-B,#N/A,13A-P-6118007-01,6                        ,BEIGE 88023         ,06/24/2020,07/02/2020,07/02/2020,07/02/2020,,,07/07/2020,,07/07/2020,07/07/2020,,,,P2032     ,G1A-3     ,B31.3          ,13A       
PA        ,67-C,6951-67-C,#N/A,13A-P-6118007-01,6                        ,BEIGE 88023         ,06/24/2020,07/09/2020,,,,,,,,,,,,,G1A-3     ,B31.3          ,13A       
PA        ,68-A,6951-68-A,#N/A,13A-P-6118102-02,6                        ,BEIGE 88023         ,05/27/2020,06/11/2020,,,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,68-C,6951-68-C,#N/A,13A-P-6118102-02,6                        ,BEIGE 88023         ,06/11/2020,06/18/2020,06/22/2020,06/23/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G3A-3     ,B31.3          ,13A       
PA        ,69-B,6951-69-B,#N/A,13A-P-6118103-02,6                        ,BEIGE 88023         ,06/11/2020,06/18/2020,06/23/2020,06/23/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G3A-3     ,B31.3          ,13A       
PA        ,70-A,6951-70-A,#N/A,13A-P-6118106-01,6                        ,BEIGE 88023         ,05/27/2020,06/10/2020,06/10/2020,06/11/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13A       
PA        ,70-B,6951-70-B,#N/A,13A-P-6118106-01,6                        ,BEIGE 88023         ,05/27/2020,06/15/2020,06/16/2020,06/17/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G3A-3     ,B31.3          ,13A       
PA        ,71-A,6951-71-A,#N/A,13A-P-6118108-01,6                        ,BEIGE 88023         ,05/28/2020,06/17/2020,06/17/2020,06/17/2020,,,06/24/2020,,06/24/2020,06/25/2020,,,,P2029     ,G1A-3     ,B31.3          ,13A       
PA        ,72-B,6951-72-B,#N/A,13A-P-6118109-01,6                        ,BEIGE 88023         ,06/15/2020,06/17/2020,06/18/2020,06/18/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13A       
PA        ,72-D,6951-72-D,#N/A,13A-P-6118109-01,6                        ,BEIGE 88023         ,06/18/2020,06/29/2020,06/29/2020,06/29/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,73-B,6951-73-B,#N/A,13A-P-6118111-01,6                        ,BEIGE 88023         ,06/03/2020,06/23/2020,06/24/2020,06/24/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G3A-3     ,B31.3          ,13A       
