FORECAST JOB: 6951 , FORECAST RUN: MAX,,,,,,,,,,,,,,,,,,
BOM PATH, STATUS, POS, TAG NUMBER, SIZE, LIST QUANTITY, UNIT, TRANSMITTL, STATUS, WAREHOUSE, PO NUMBER, VENDOR, PRED ON SITE, GROUP-PERF, SKETCH, PRIORITY,PERCENTAGE COMPLETE,CLIENT-REV,SPEC,CWP
PIPING/6951/13D/272-A,Completed with Current Inventory.,3,C1NFHH60~3/4,4-Mar,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,4,C2L6MS8~8,8,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,5,C2L6MS8~8,8,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,6,C1YAVXZ5~8,8,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,7,C1NFHDGB~8X3/4,8X3/4,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,8,C2L6N2B~8,8,1.8,ft,43,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13F/402-A,Completed with Current Inventory.,1,PS107-10-18-4_402-A~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-402-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/402-A,Completed with Current Inventory.,2,C1YAVX8N~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-402-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/402-A,Completed with Current Inventory.,3,C2L6MTJ~10,10,6.4,ft,50,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-402-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/403-A,Completed with Current Inventory.,1,C1YAVX8N~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-403-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/403-A,Completed with Current Inventory.,2,PS107-10-18-4_403-A~10,10,1,ea,50,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-403-A,13,100%,0,G3H-1-TP1,13F
PIPING/6951/13F/403-A,Completed with Current Inventory.,3,C2L6MTJ~10,10,7.5,ft,50,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-403-A,13,100%,0,G3H-1-TP1,13F
